Acetic acid,Nonanal,Decanoic acid,Heptanal,Hexanal,Decanal,2-Octanone,True_Stress,True_Period
1.10600395e-05,1.7584745e-05,1.05580275e-05,0.25721455,0.3631834,0.37908438,0.0004784599,0,0
7.3655083e-06,1.29897135e-05,7.009732e-06,0.265074,0.3579629,0.37645906,0.00047665363,0,0
4.4489184e-06,7.9507145e-06,4.225732e-06,0.26064965,0.360346,0.37860006,0.0003877224,0,0
4.6767236e-06,1.0407857e-05,4.428025e-06,0.27812386,0.35047144,0.37088177,0.0005034195,0,0
2.5104282e-05,0.0011733163,2.3989256e-05,0.47138882,0.25803977,0.26711845,0.0022305194,0,0
4.6767236e-06,1.0407857e-05,4.428025e-06,0.27812386,0.35047144,0.37088177,0.0005034195,0,0
2.5104282e-05,0.0011733163,2.3989256e-05,0.47138882,0.25803977,0.26711845,0.0022305194,0,0
3.2131757e-05,0.0002308441,3.0685136e-05,0.39509484,0.29435807,0.30854267,0.0017107753,0,4
0.000112930196,0.0009890272,0.00010862658,0.4403513,0.2730522,0.2815003,0.0038856105,0,4
0.00010815248,0.00016215083,0.000104535975,0.29144752,0.34467155,0.3613212,0.0021848464,0,4
4.553599e-06,8.376976e-06,4.326827e-06,0.29516184,0.33966857,0.36465022,0.00050211133,0,4
0.00010815248,0.00016215083,0.000104535975,0.29144752,0.34467155,0.3613212,0.0021848464,0,4
3.5838211e-06,6.460095e-05,3.3486801e-06,0.44812402,0.27163616,0.2796348,0.0005334889,0,4
2.1411517e-05,0.00017079517,2.0398422e-05,0.43142706,0.27948707,0.28761646,0.0012568183,0,4
0.00012436956,0.0003118312,0.00011978818,0.35112274,0.31593725,0.32904363,0.0033402895,0,4
0.00011795803,0.00014780757,0.000113486254,0.25579607,0.36731076,0.37543035,0.0010835425,0,1
2.5287263e-06,4.449403e-06,2.383683e-06,0.3083201,0.33563787,0.35574841,0.00028427885,0,1
2.5287263e-06,4.449403e-06,2.383683e-06,0.3083201,0.33563787,0.35574841,0.00028427885,0,1
9.136881e-06,1.3166363e-05,8.667269e-06,0.31538326,0.33244842,0.35170767,0.00042966838,0,1
3.868322e-06,1.8901115e-05,3.6538872e-06,0.3998589,0.29509416,0.30461717,0.00040338223,0,1
2.5287263e-06,4.449403e-06,2.383683e-06,0.3083201,0.33563787,0.35574841,0.00028427885,0,1
3.8559032e-05,5.1173887e-05,3.682953e-05,0.26227653,0.35976538,0.3771904,0.0006410983,0,1
5.8030477e-05,7.463061e-05,5.5546458e-05,0.26176515,0.3617058,0.37561136,0.0007294639,0,1
1.3399742e-05,3.5118414e-05,1.27366975e-05,0.3698572,0.30870444,0.32063982,0.00073728187,0,1
0.00014895477,0.00019458988,0.00014377775,0.26015988,0.3727002,0.3655793,0.0010732546,0,2
1.0188793e-06,1.6943768e-06,9.582772e-07,0.2651213,0.36084646,0.37388885,0.00013967375,0,2
1.0188793e-06,1.6943768e-06,9.582772e-07,0.2651213,0.36084646,0.37388885,0.00013967375,0,2
8.610783e-05,0.00010464006,8.28591e-05,0.26434976,0.37057132,0.36358786,0.001217459,0,2
8.610783e-05,0.00010464006,8.28591e-05,0.26434976,0.37057132,0.36358786,0.001217459,0,2
