epoch,lr,acc_stress,acc_period,acc_joint,best_score
1,4.3815365147356904e-05,0.2875817120075226,0.1895424872636795,0.05228758230805397,0.23856209963560104
2,5.52008063760621e-05,0.2810457646846771,0.1895424872636795,0.05228758230805397,0.23856209963560104
3,7.397532528756858e-05,0.2810457646846771,0.18300653994083405,0.03921568766236305,0.23856209963560104
4,9.98404566939045e-05,0.27450981736183167,0.24836601316928864,0.04575163498520851,0.26143791526556015
5,0.00013238501342465445,0.3137255012989044,0.24836601316928864,0.07189542800188065,0.2810457572340965
6,0.0001710916231152911,0.3660130798816681,0.21568627655506134,0.10457516461610794,0.2908496782183647
7,0.00021534495305920568,0.3660130798816681,0.21568627655506134,0.09803921729326248,0.2908496782183647
8,0.0002644414923700549,0.3137255012989044,0.21568627655506134,0.07189542800188065,0.2908496782183647
9,0.00031760073594391174,0.2875817120075226,0.22875817120075226,0.09150326997041702,0.2908496782183647
10,0.00037397759242581115,0.35947713255882263,0.2810457646846771,0.09803921729326248,0.3202614486217499
11,0.0004326758189268429,0.29411765933036804,0.20261438190937042,0.07189542800188065,0.3202614486217499
12,0.0004927622689153244,0.30718955397605896,0.22875817120075226,0.03921568766236305,0.3202614486217499
13,0.0005532817267782792,0.379084974527359,0.24183006584644318,0.08496732264757156,0.3202614486217499
14,0.0006132720932229269,0.3006536066532135,0.23529411852359772,0.0784313753247261,0.3202614486217499
15,0.0006717796801104755,0.3137255012989044,0.3006536066532135,0.1111111119389534,0.3202614486217499
16,0.0007278743715748137,0.37254902720451355,0.3137255012989044,0.08496732264757156,0.343137264251709
17,0.0007806644104044219,0.4444444477558136,0.32679739594459534,0.1568627506494522,0.38562092185020447
18,0.0008293105746231409,0.3921568691730499,0.2810457646846771,0.09150326997041702,0.38562092185020447
19,0.0008730395188996682,0.46405228972435,0.27450981736183167,0.12418300658464432,0.38562092185020447
20,0.0009111560686926563,0.47058823704719543,0.37254902720451355,0.18300653994083405,0.4215686321258545
21,0.0009430542716870315,0.49673202633857727,0.33986929059028625,0.13725490868091583,0.4215686321258545
22,0.000968227030832927,0.6405228972434998,0.379084974527359,0.24836601316928864,0.5098039358854294
23,0.0009862741658473926,0.5098039507865906,0.33986929059028625,0.2222222238779068,0.5098039358854294
24,0.0009969087750223288,0.4771241843700409,0.4771241843700409,0.26143792271614075,0.5098039358854294
25,0.0009999995126141572,0.5555555820465088,0.3986928164958954,0.24183006584644318,0.5098039358854294
26,0.0009999410274627194,0.5686274766921997,0.38562092185020447,0.24183006584644318,0.5098039358854294
27,0.000999785078207303,0.5947712659835815,0.37254902720451355,0.22875817120075226,0.5098039358854294
28,0.0009995316952505242,0.6339869499206543,0.4313725531101227,0.2679738700389862,0.5326797515153885
29,0.0009991809279898923,0.6339869499206543,0.48366013169288635,0.2810457646846771,0.5588235408067703
30,0.0009987328448081798,0.7124183177947998,0.4901960790157318,0.33986929059028625,0.6013071984052658
31,0.000998187533060091,0.6797385811805725,0.4901960790157318,0.33986929059028625,0.6013071984052658
32,0.0009975450990552313,0.758169949054718,0.5032680034637451,0.38562092185020447,0.6307189762592316
33,0.0009968056680373831,0.6666666865348816,0.516339898109436,0.3464052379131317,0.6307189762592316
34,0.0009959693841600887,0.6535947918891907,0.5032680034637451,0.35947713255882263,0.6307189762592316
35,0.0009950364104585464,0.8104575276374817,0.516339898109436,0.43790850043296814,0.6633987128734589
36,0.0009940069288178282,0.7124183177947998,0.529411792755127,0.3986928164958954,0.6633987128734589
