Acetic acid,Nonanal,Decanoic acid,Heptanal,Hexanal,Decanal,2-Octanone,True_Stress,True_Period
3.4139687e-09,1.26213545e-05,1.7017743e-09,0.31037062,0.3380697,0.35154703,8.504252e-10,0,0
1.109924e-06,0.00013090258,7.0305214e-07,0.30505046,0.34575847,0.34905833,1.9007004e-08,0,0
7.5896327e-07,8.419119e-05,4.733485e-07,0.30694008,0.3441339,0.34884056,5.551679e-09,0,0
1.109924e-06,0.00013090258,7.0305214e-07,0.30505046,0.34575847,0.34905833,1.9007004e-08,0,0
7.5896327e-07,8.419119e-05,4.733485e-07,0.30694008,0.3441339,0.34884056,5.551679e-09,0,0
7.5896327e-07,8.419119e-05,4.733485e-07,0.30694008,0.3441339,0.34884056,5.551679e-09,0,0
3.4139687e-09,1.26213545e-05,1.7017743e-09,0.31037062,0.3380697,0.35154703,8.504252e-10,0,0
1.9434269e-07,8.342538e-05,7.320184e-08,0.31442165,0.3352202,0.35027394,5.752004e-07,0,0
2.7876016e-08,4.2235504e-05,1.22247945e-08,0.3078689,0.34271517,0.34937364,1.6249281e-08,0,0
1.9434269e-07,8.342538e-05,7.320184e-08,0.31442165,0.3352202,0.35027394,5.752004e-07,0,0
4.8317867e-07,0.00026661713,1.9984131e-07,0.32721597,0.3264985,0.3460165,1.7269358e-06,0,4
6.733233e-07,0.0003303431,3.3835215e-07,0.32513812,0.32936823,0.34515962,2.6431794e-06,0,4
1.5232229e-07,0.00014123699,8.8025104e-08,0.31853497,0.33478048,0.34654284,2.2445495e-07,0,4
9.0989225e-09,3.041186e-05,4.0430987e-09,0.31836146,0.33338475,0.34822336,3.7889567e-09,0,4
4.8317867e-07,0.00026661713,1.9984131e-07,0.32721597,0.3264985,0.3460165,1.7269358e-06,0,4
1.633314e-08,4.8365557e-05,9.0821235e-09,0.317459,0.3346042,0.34788838,1.2437018e-08,0,4
3.982233e-09,1.7721837e-05,2.441744e-09,0.30821174,0.34401092,0.3477596,8.1241497e-10,0,4
3.0355573e-06,0.00081549084,1.7699713e-06,0.3234337,0.33210528,0.34359622,4.4489832e-05,0,4
3.0355573e-06,0.00081549084,1.7699713e-06,0.3234337,0.33210528,0.34359622,4.4489832e-05,0,4
4.596249e-07,0.00035681884,2.351952e-07,0.32269302,0.33404306,0.3428948,1.1598551e-05,0,4
3.982233e-09,1.7721837e-05,2.441744e-09,0.30821174,0.34401092,0.3477596,8.1241497e-10,0,4
9.785969e-07,0.00040420445,4.6988734e-07,0.3256867,0.3285678,0.345333,6.8039744e-06,0,4
