      Energy(eV)          s               py              pz              px              dxy             dyz             dz2             dxz            dx2-y2            tot 
     -4.25780000      0.19710000      0.08990000      0.24690000      0.09180000      0.01020000      0.00300000      0.01170000      0.00380000      0.00000000      0.65440000
     -4.20780000      0.12140000      0.07270000      0.18040000      0.07030000      0.00700000      0.00300000      0.00660000      0.00380000      0.00000000      0.46520000
     -4.15780000      0.06290000      0.50370000      0.80620000      0.44790000      0.04010000      0.03470000      0.00670000      0.03720000      0.00000000      1.93940000
     -4.10780000      0.28220000      2.82930000      4.67080000      2.74580000      0.23350000      0.21070000      0.03480000      0.21320000      0.00050000     11.22080000
     -4.05780000      0.34570000      3.07750000      5.31770000      3.28590000      0.26500000      0.24740000      0.04070000      0.23760000      0.00070000     12.81820000
     -4.00780000      0.27850000      0.82750000      1.40750000      0.94280000      0.06830000      0.06930000      0.02160000      0.06630000      0.00040000      3.68220000
     -3.95780000      0.37490000      0.35450000      0.47710000      0.35680000      0.02130000      0.02560000      0.02340000      0.02770000      0.00070000      1.66200000
     -3.90780000      1.43300000      0.97670000      1.13090000      0.87570000      0.05780000      0.06630000      0.08660000      0.06710000      0.00030000      4.69440000
     -3.85780000      5.20510000      3.89660000      4.04670000      3.64370000      0.22630000      0.31390000      0.31480000      0.31310000      0.00280000     17.96300000
     -3.80780000      4.77040000      4.46940000      3.73450000      4.46370000      0.22180000      0.46140000      0.29010000      0.45910000      0.00690000     18.87730000
     -3.75780000      1.96570000      3.37760000      1.44360000      3.46650000      0.08420000      0.47520000      0.12860000      0.47720000      0.01240000     11.43100000
     -3.70780000      1.12390000      2.02070000      0.76290000      2.05180000      0.04110000      0.29340000      0.07940000      0.29840000      0.00840000      6.68000000
     -3.65780000      0.38100000      0.50490000      0.26120000      0.50170000      0.01400000      0.06270000      0.03220000      0.06450000      0.00200000      1.82420000
     -3.60780000      0.49440000      0.42530000      0.45940000      0.40720000      0.02510000      0.01860000      0.05610000      0.01950000      0.00150000      1.90710000
     -3.55780000      0.84560000      1.15530000      1.78870000      1.15980000      0.09430000      0.05470000      0.09440000      0.05540000      0.00110000      5.24930000
     -3.50780000      1.13070000      2.04320000      4.02340000      2.07340000      0.31740000      0.10930000      0.14070000      0.11030000      0.00020000      9.94860000
     -3.45780000      0.45270000      1.88010000      3.36110000      1.87500000      0.43740000      0.15270000      0.09340000      0.15380000      0.00020000      8.40640000
     -3.40780000      0.13270000      1.62990000      1.16130000      1.63330000      0.17970000      0.16180000      0.04590000      0.16380000      0.00040000      5.10880000
     -3.35780000      0.31440000      1.12210000      0.82270000      1.21850000      0.11060000      0.11300000      0.08460000      0.11840000      0.00680000      3.91110000
     -3.30780000      0.48850000      3.23070000      0.61510000      3.39770000      0.07600000      0.34870000      0.10000000      0.35800000      0.03190000      8.64660000
     -3.25780000      0.81450000      6.21900000      0.64310000      6.19840000      0.06470000      0.65270000      0.14940000      0.65860000      0.04010000     15.44050000
     -3.20780000      1.85730000      7.35030000      1.55250000      7.10560000      0.16050000      0.79260000      0.30350000      0.80960000      0.03680000     19.96870000
     -3.15780000      3.89870000      6.04200000      2.28630000      5.92520000      0.28300000      0.78590000      0.51110000      0.75140000      0.07280000     20.55640000
     -3.10780000      3.72390000      4.95220000      2.03950000      4.91250000      0.33420000      0.73580000      0.55350000      0.70240000      0.14050000     18.09450000
     -3.05780000      2.74450000      4.85770000      2.14840000      4.96770000      0.34200000      0.54400000      0.75120000      0.55100000      0.16230000     17.06880000
     -3.00780000      1.91320000      4.04390000      2.00080000      4.08510000      0.30540000      0.29840000      0.74670000      0.30430000      0.14100000     13.83880000
     -2.95780000      0.96140000      3.94300000      1.56530000      3.95850000      0.31440000      0.13330000      0.43850000      0.13770000      0.08310000     11.53520000
     -2.90780000      0.40370000      2.87250000      0.88100000      2.87020000      0.19660000      0.05390000      0.18120000      0.05490000      0.03850000      7.55250000
     -2.85780000      0.36650000      0.69990000      0.55200000      0.70460000      0.10970000      0.03110000      0.10430000      0.03240000      0.01050000      2.61100000
     -2.80780000      0.18710000      0.21860000      0.31760000      0.24060000      0.05350000      0.03080000      0.05180000      0.02390000      0.00440000      1.12830000
     -2.75780000      0.08340000      0.32500000      0.27840000      0.38220000      0.03100000      0.05610000      0.02820000      0.03370000      0.00610000      1.22410000
     -2.70780000      0.16530000      0.17250000      0.19490000      0.20080000      0.02480000      0.02960000      0.01520000      0.01810000      0.00320000      0.82440000
     -2.65780000      1.74090000      0.09900000      0.84070000      0.07850000      0.14390000      0.01230000      0.03210000      0.01570000      0.00170000      2.96480000
     -2.60780000      4.13480000      0.22070000      2.23740000      0.16420000      0.38310000      0.02690000      0.07910000      0.03700000      0.00410000      7.28730000
     -2.55780000      2.09160000      0.20320000      2.35010000      0.19220000      0.39550000      0.03290000      0.06960000      0.03500000      0.00390000      5.37400000
