Time_aligned_s,Chan.1 - Raw (mV),Chan.2 - Raw (mV),Chan.3 - Raw (mV),Chan.4 - Raw (mV),Chan.5 - Raw (mV),Chan.6 - Raw (mV),Chan.7 - Raw (mV),Chan.8 - Raw (mV),Stress_Type,Period
0,1607.2,1458.1,1151.8,1151.8,1475,2061.1,1532.4,1671.3,0,0
0.5,1677.9,1458.1,1151.8,1151.8,1475,2136.7,1532.4,1671.3,0,0
1,1677.9,1527,1222.2,1222.2,1517,2136.7,1599.7,1734.9,0,0
1.5,1748.5,1527,1222.2,1222.2,1517,2208,1599.7,1734.9,0,0
2,1748.5,1599.2,1282.8,1282.8,1590.1,2208,1666.4,1803.2,0,0
2.5,1748.5,1599.2,1282.8,1282.8,1590.1,2284.3,1666.4,1803.2,0,0
3,1748.5,1663.1,1368,1368,1664.4,2284.3,1734.7,1865.2,0,0
3.5,1886.4,1663.1,1368,1368,1664.4,2350.2,1734.7,1865.2,0,0
4,1886.4,1725.9,1433.2,1433.2,1731.1,2350.2,1798.4,1933.3,0,0
4.5,1939.3,1725.9,1433.2,1433.2,1731.1,2404,1798.4,1933.3,0,0
5,1939.3,1798.7,1504.3,1504.3,1801.8,2404,1870,1990.9,0,0
5.5,2014.3,1798.7,1504.3,1504.3,1801.8,2491.2,1870,1990.9,0,0
6,2014.3,1855.5,1567.9,1567.9,1875.1,2491.2,1929.3,2058,0,0
6.5,2081.2,1855.5,1567.9,1567.9,1875.1,2563.5,1929.3,2058,0,0
7,2081.2,1922.9,1632.4,1632.4,1941.4,2563.5,1994,2114.5,0,0
7.5,2148.3,1922.9,1632.4,1632.4,2004.1,2616.9,1994,2114.5,0,0
8,2148.3,1971.9,1702.1,1702.1,2004.1,2616.9,2045,2166,0,0
8.5,2193.3,1971.9,1702.1,1702.1,2074.4,2680,2045,2237.4,0,0
9,2193.3,2044.6,1747.5,1747.5,2074.4,2680,2113.5,2237.4,0,0
9.5,2272.2,2044.6,1747.5,1747.5,2147.2,2753.1,2113.5,2297,0,0
10,2272.2,2117.2,1828.1,1828.1,2147.2,2753.1,2171.8,2297,0,0
10.5,2341,2165.9,1828.1,1828.1,2196.1,2814.4,2171.8,2357.7,0,0
11,2341,2165.9,1888.9,1888.9,2196.1,2814.4,2231.9,2357.7,0,0
11.5,2398.3,2223.5,1888.9,1888.9,2272.3,2878.2,2294,2411,0,0
12,2398.3,2223.5,1944.3,1944.3,2272.3,2940.2,2294,2411,0,0
12.5,2462.7,2288.4,2017.8,2017.8,2335.9,2940.2,2347.8,2480.8,0,0
13,2462.7,2288.4,2017.8,2017.8,2335.9,2993.6,2347.8,2480.8,0,0
13.5,2518.8,2341,2069.7,2069.7,2399.7,2993.6,2406.5,2532.4,0,0
14,2518.8,2341,2069.7,2069.7,2399.7,3059,2406.5,2532.4,0,0
14.5,2578.8,2402.6,2129.2,2129.2,2460.5,3059,2465,2595.3,0,0
15,2578.8,2402.6,2129.2,2129.2,2460.5,3119.7,2465,2595.3,0,0
15.5,2639.3,2450.2,2187.1,2187.1,2526.4,3119.7,2520.1,2652.8,0,0
16,2696.1,2450.2,2187.1,2187.1,2526.4,3178.2,2520.1,2652.8,0,0
16.5,2696.1,2333.7,2244.6,2244.6,2583.1,3178.2,2425.8,2850.1,0,0
17,2633.8,2333.7,2244.6,2244.6,2583.1,3306.8,2425.8,2850.1,0,0
17.5,2633.8,2333.7,2299.7,2299.7,2643.6,3306.8,2425.8,2850.1,0,0
18,2633.8,2333.7,2299.7,2299.7,2643.6,3306.8,2425.8,2850.1,0,0
18.5,2633.8,2333.7,2358.3,2358.3,2703.8,3306.8,2425.8,2850.1,0,0
19,2633.8,-24569.4,2358.3,2358.3,2703.8,3306.8,-18400.3,-2263.9,0,0
19.5,-28354.8,-24569.4,2414.4,2414.4,2543.3,-995.3,-18400.3,-2263.9,0,0
20,-28354.8,-22465.1,2414.4,2414.4,2543.3,-995.3,-17457.6,-2350.7,0,0
20.5,-28354.8,-22465.1,2469.5,2469.5,2543.3,-1010,-17457.6,-2350.7,0,0
21,-24850.2,-20421.8,2469.5,2469.5,2543.3,-1010,-16427.2,-2355,0,0
21.5,-24850.2,-20421.8,2134.4,2134.4,2543.3,-1091.7,-16427.2,-2355,0,0
22,-21996.1,-20421.8,2134.4,2134.4,-27502.9,-1091.7,-16427.2,-2407.4,0,0
22.5,-21996.1,-18566.3,2134.4,2134.4,-27502.9,-1091.7,-15348.8,-2407.4,0,0
23,-19587.1,-18566.3,2134.4,2134.4,-24521.5,-1227.7,-15348.8,-2407.4,0,0
23.5,-19587.1,-16953.3,2134.4,2134.4,-24521.5,-1227.7,-14332.6,-2338.5,0,0
24,-17621.6,-16953.3,-22073.9,-22073.9,-21942.4,-1128.2,-14332.6,-2338.5,0,0
24.5,-17621.6,-15515.6,-22073.9,-22073.9,-21942.4,-1128.2,-13348,-2419.6,0,0
25,-15970.1,-15515.6,-20514.8,-20514.8,-19646.6,-1045.4,-13348,-2282.5,0,0
25.5,-15970.1,-14286.8,-20514.8,-20514.8,-19646.6,-1045.4,-12469.4,-2282.5,0,0
26,-14547.5,-13318.4,-18889.9,-18889.9,-17752,-964.1,-12469.4,-1954,0,0
26.5,-14547.5,-13318.4,-18889.9,-18889.9,-17752,-868.6,-11822,-1954,0,0
27,-13514,-12643.3,-17361.4,-17361.4,-16149.3,-868.6,-11822,-1690.8,0,0
27.5,-13514,-12643.3,-17361.4,-17361.4,-16149.3,-731.7,-11325.2,-1690.8,0,0
28,-12731,-12102.7,-15966.6,-15966.6,-14750.9,-731.7,-11028.2,-1471.1,0,0
28.5,-12731,-12102.7,-15966.6,-15966.6,-14750.9,-599.7,-11028.2,-1471.1,0,0
29,-12215.5,-11577.1,-14703.2,-14703.2,-13725.2,-599.7,-10595.9,-1256.4,0,0
29.5,-12215.5,-11577.1,-14703.2,-14703.2,-13725.2,-507.8,-10595.9,-1256.4,0,0
30,-11603,-11257.3,-13639.3,-13639.3,-12950.9,-507.8,-10360.9,-1087,0,0
30.5,-11603,-11257.3,-13639.3,-13639.3,-12950.9,-445.7,-10360.9,-1087,0,0
31,-11348.6,-10968.8,-12779.5,-12779.5,-12327.5,-445.7,-10115,-953.6,0,0
31.5,-11348.6,-10968.8,-12779.5,-12779.5,-12327.5,-378.9,-10115,-953.6,0,0
32,-10958.9,-10499.9,-12134.3,-12134.3,-11819.6,-378.9,-9663.5,-751.6,0,0
32.5,-10425.4,-10499.9,-12134.3,-12134.3,-11819.6,-320.2,-9663.5,-751.6,0,0
33,-10425.4,-9989.7,-11686.7,-11686.7,-11434,-320.2,-9177.1,-594.3,0,0
33.5,-9893.8,-9989.7,-11686.7,-11686.7,-11434,-259.8,-9177.1,-594.3,0,0
34,-9893.8,-9467.1,-11189.2,-11189.2,-11130.1,-259.8,-8697.2,-506.2,0,0
34.5,-9356.5,-9467.1,-11189.2,-11189.2,-11130.1,-207.1,-8697.2,-506.2,0,0
35,-9356.5,-8994.4,-10951.7,-10951.7,-10655.7,-207.1,-8256.6,-332.6,0,0
35.5,-8863.6,-8994.4,-10951.7,-10951.7,-10655.7,-143.2,-8256.6,-332.6,0,0
36,-8863.6,-8533.3,-10628.3,-10628.3,-10133,-143.2,-7833.1,-206.5,0,0
36.5,-8391.2,-8533.3,-10628.3,-10628.3,-9630.1,-88.9,-7833.1,-206.5,0,0
37,-8391.2,-8090.8,-10109,-10109,-9630.1,-88.9,-7433.3,-125.9,0,0
37.5,-7942.7,-8090.8,-10109,-10109,-9112.1,-33.4,-7433.3,-37.9,0,0
38,-7942.7,-7668.3,-9603.8,-9603.8,-9112.1,-33.4,-7051.3,-37.9,0,0
