VOCs_Extracted_S1,VOCs_Extracted_S2,VOCs_Extracted_S3,VOCs_Extracted_S4,VOCs_Extracted_S5,VOCs_Extracted_S6,VOCs_Extracted_S7,VOCs_Extracted_S8,Stress_Type,Period
-5264.976316,-5745.470322,-5806.268944,-5806.268944,-5731.619921,-3191.887622,-4342.885198,-2970.838939,1,6
-5163.779243,-5627.642615,-5742.894157,-5742.894157,-5660.361188,-3157.707636,-4259.498819,-2923.398525,1,6
-5059.442126,-5509.287651,-5667.814003,-5667.814003,-5580.858846,-3119.579228,-4172.471009,-2874.571311,1,6
-4951.964967,-5390.40543,-5581.028483,-5581.028483,-5493.112895,-3077.502398,-4081.801768,-2824.357298,1,6
-4841.347764,-5270.995952,-5482.537597,-5482.537597,-5397.123336,-3031.477145,-3987.491097,-2772.756486,1,6
-4727.590518,-5151.059217,-5372.341344,-5372.341344,-5292.890167,-2981.503469,-3889.538995,-2719.768874,1,6
-4610.09459,-5031.206144,-5243.438181,-5243.438181,-5176.800301,-2926.389175,-3785.257791,-2666.054915,1,6
-4488.675982,-4909.904183,-5105.637686,-5105.637686,-5052.915296,-2867.271582,-3678.468977,-2610.161493,1,6
-4363.964475,-4787.057063,-4960.180521,-4960.180521,-4922.53916,-2805.181853,-3568.833394,-2552.20307,1,6
-4237.583492,-4663.532981,-4810.684226,-4810.684226,-4788.659687,-2740.046859,-3458.118156,-2492.402351,1,6
-4110.252835,-4539.302961,-4661.404988,-4661.404988,-4654.453567,-2674.184913,-3348.753736,-2430.863569,1,6
-3983.632683,-4415.469422,-4514.570802,-4514.570802,-4521.690293,-2607.150384,-3243.941218,-2367.82591,1,6
-3858.225223,-4292.00099,-4372.782838,-4372.782838,-4392.473436,-2540.340731,-3142.559803,-2303.487026,1,6
-3735.349182,-4169.798135,-4236.84908,-4236.84908,-4267.108734,-2474.581686,-3046.64981,-2238.258166,1,6
-3615.212186,-4048.918294,-4107.850694,-4107.850694,-4146.249587,-2410.359725,-2954.273932,-2172.435385,1,6
-3498.667696,-3930.353429,-3985.124957,-3985.124957,-4028.890471,-2347.556256,-2866.632379,-2106.529688,1,6
-3385.695444,-3814.16223,-3868.30396,-3868.30396,-3914.471868,-2285.854491,-2781.178717,-2040.958276,1,6
-3274.476423,-3698.885616,-3758.6934,-3758.6934,-3799.84311,-2223.745079,-2697.620547,-1974.255309,1,6
-3165.700302,-3584.937121,-3651.679863,-3651.679863,-3685.204467,-2161.176507,-2614.129208,-1908.102899,1,6
-3060.561373,-3473.450271,-3549.51509,-3549.51509,-3571.089831,-2097.031583,-2531.672636,-1843.502157,1,6
-2958.511581,-3363.864735,-3450.035135,-3450.035135,-3458.486716,-2031.776265,-2450.749994,-1780.02032,1,6
-2860.60856,-3257.368843,-3352.996033,-3352.996033,-3346.951969,-1964.72963,-2372.155104,-1717.896993,1,6
-2767.804267,-3153.334573,-3258.18376,-3258.18376,-3237.7271,-1897.652091,-2293.303495,-1656.573631,1,6
-2677.798791,-3052.881854,-3164.976404,-3164.976404,-3130.117888,-1830.493899,-2215.843648,-1595.988968,1,6
-2592.23779,-2955.462064,-3073.027004,-3073.027004,-3025.18454,-1763.852862,-2137.435969,-1536.820889,1,6
-2509.987379,-2862.108688,-2981.949792,-2981.949792,-2922.327076,-1696.76196,-2059.891088,-1477.671272,1,6
-2429.853459,-2773.923898,-2892.292599,-2892.292599,-2822.110727,-1628.984973,-1981.10922,-1419.269594,1,6
-2350.927686,-2688.828577,-2804.598053,-2804.598053,-2724.886947,-1560.142286,-1902.868398,-1360.451991,1,6
-2272.171571,-2606.994326,-2716.811518,-2716.811518,-2632.508663,-1490.413047,-1824.882852,-1302.972888,1,6
-2193.036636,-2526.481438,-2631.707131,-2631.707131,-2545.028809,-1419.81711,-1747.800843,-1247.25317,1,6
-2113.078288,-2447.152186,-2545.913134,-2545.913134,-2460.070571,-1348.837255,-1671.316844,-1192.819923,1,6
-2032.546043,-2368.908653,-2460.705916,-2460.705916,-2377.977883,-1279.174423,-1596.0672,-1139.797126,1,6
-1952.237453,-2291.432638,-2375.079402,-2375.079402,-2296.606571,-1211.929949,-1521.736744,-1087.733216,1,6
-1870.210561,-2214.716879,-2289.530066,-2289.530066,-2215.615818,-1148.446693,-1448.915913,-1036.634754,1,6
-1790.028535,-2138.707002,-2203.326022,-2203.326022,-2134.886763,-1088.039261,-1377.310374,-986.7526325,1,6
-1710.093856,-2063.881368,-2117.232956,-2117.232956,-2054.110159,-1030.759891,-1307.329481,-936.564516,1,6
-1631.212862,-1991.084454,-2031.137288,-2031.137288,-1973.357053,-975.253992,-1238.930012,-886.9804632,1,6
-1553.161684,-1917.627932,-1946.189016,-1946.189016,-1894.090119,-922.1838275,-1172.828037,-836.8701795,1,6
-1476.6663,-1844.774645,-1863.470177,-1863.470177,-1817.042751,-870.2417736,-1109.913971,-788.3022666,1,6
-1401.458545,-1770.588292,-1784.351692,-1784.351692,-1741.865209,-819.581208,-1048.795453,-740.3801839,1,6
-1328.196041,-1696.700406,-1707.714961,-1707.714961,-1666.412708,-770.2214243,-989.7312399,-691.9079774,1,6
-1256.551931,-1622.854606,-1634.125532,-1634.125532,-1592.408272,-723.131369,-931.2553962,-642.4400605,1,6
-1187.215679,-1549.771397,-1564.40812,-1564.40812,-1517.820469,-677.8940001,-873.9313383,-591.7162561,1,6
-1119.974783,-1477.24265,-1497.1465,-1497.1465,-1444.236684,-633.8474941,-816.5148909,-539.5938428,1,6
-1056.216678,-1405.923915,-1432.343638,-1432.343638,-1371.428899,-588.8167687,-759.1681867,-486.4409304,1,6
