Time_aligned_s,VOCs_Extracted_S1,VOCs_Extracted_S2,VOCs_Extracted_S3,VOCs_Extracted_S4,VOCs_Extracted_S5,VOCs_Extracted_S6,VOCs_Extracted_S7,VOCs_Extracted_S8,Stress_Type,Period
47.0,2660.277581,3501.247151,2222.968725,2222.968725,2768.506774,2934.038986,1911.453731,-270.6588385,2,3
48.0,2682.14481,3681.895332,2246.452506,2246.452506,2853.237963,2958.820794,1464.992922,-1340.783309,2,3
49.0,2702.032233,3859.56622,2277.919194,2277.919194,2921.182023,2982.313086,932.6123141,-2569.417625,2,3
50.0,2719.939851,4039.691865,2319.21215,2319.21215,2956.418022,3004.515864,314.3119065,-3956.561786,2,3
51.0,42201.99296,4222.272267,2371.59231,2371.59231,2940.094308,168.6450664,-25097.68196,-3426.124928,2,3
52.0,32060.56475,4407.307424,2433.976155,2433.976155,2852.334357,-894.5609371,-24203.73818,-3547.27161,2,3
53.0,22907.57244,4594.797338,2500.925262,2500.925262,2677.742513,-1844.894978,-23304.80821,-3671.258753,2,3
54.0,14743.01602,21626.56353,2563.890565,2563.890565,2436.843797,-2682.357055,-22400.89205,-3798.086358,2,3
55.0,7566.895503,11482.27176,2612.353079,2612.353079,2129.638207,-3406.94717,-21491.98971,-3927.754424,2,3
56.0,1379.210877,2664.919314,2631.44704,2631.44704,1756.125744,-4018.665321,-20578.10118,-4060.262951,2,3
57.0,-3565.791078,-4825.493802,2602.640053,2602.640053,1316.306408,-4477.78096,-19630.99733,-4203.211671,2,3
58.0,-7630.13972,-10988.96759,2505.84216,2505.84216,-29976.84142,-4846.909271,-18684.16534,-4346.895192,2,3
59.0,-10948.4409,-15825.50205,2345.835845,2345.835845,-28797.66984,-5113.345064,-17747.24843,-4487.006109,2,3
60.0,-13618.03002,-18810.34212,2076.669075,2076.669075,-27614.62038,-5306.72779,-16830.42311,-4621.342842,2,3
61.0,-15681.82853,-20700.14302,1728.710513,1728.710513,-26427.69302,-5448.969354,-15977.83856,-4748.065098,2,3
62.0,-16909.40006,-21729.15124,1301.960158,1301.960158,-25236.88778,-5563.174839,-15193.80956,-4863.774985,2,3
63.0,-17442.85517,-21833.34284,796.4180104,796.4180104,-24042.20465,-5665.00251,-14506.8024,-4959.977793,2,3
64.0,-17431.65299,-21286.71273,212.0840705,212.0840705,-22808.22906,-5768.180546,-13910.17104,-5036.375613,2,3
65.0,-17020.9009,-20337.78105,-28172.21286,-28172.21286,-21579.98711,-5878.573227,-13416.04905,-5093.732623,2,3
66.0,-16383.75662,-19192.82735,-26692.67823,-26692.67823,-20364.02147,-5998.677367,-13004.9963,-5133.5239,2,3
67.0,-15624.29017,-18017.24377,-25277.00057,-25277.00057,-19176.32005,-6126.362094,-12673.72458,-5157.46498,2,3
68.0,-15018.43609,-16952.7674,-23925.17988,-23925.17988,-18065.94926,-6253.156924,-12383.28155,-5167.17949,2,3
69.0,-14650.76531,-16048.9198,-22637.21615,-22637.21615,-17041.98619,-6347.572268,-12122.67531,-5161.815569,2,3
