VOCs_Extracted_S1,VOCs_Extracted_S2,VOCs_Extracted_S3,VOCs_Extracted_S4,VOCs_Extracted_S5,VOCs_Extracted_S6,VOCs_Extracted_S7,VOCs_Extracted_S8,Stress_Type,Period
-5409.007997,-5749.827873,-6122.134692,-6122.134692,-5896.747178,-3409.790647,-4513.114222,-3014.723736,1,9
-5265.584934,-5585.52932,-5941.547483,-5941.547483,-5735.237596,-3329.734594,-4380.059012,-2950.677163,1,9
-5124.511849,-5426.757801,-5772.348372,-5772.348372,-5580.807421,-3249.390975,-4249.691516,-2885.533381,1,9
-4986.138817,-5275.542486,-5611.160327,-5611.160327,-5434.155945,-3169.055678,-4120.989799,-2819.65834,1,9
-4851.446283,-5133.093773,-5456.725227,-5456.725227,-5292.146663,-3089.174802,-3995.411592,-2753.451966,1,9
-4721.60541,-4996.728771,-5308.445157,-5308.445157,-5154.040633,-3010.165204,-3872.195279,-2687.180156,1,9
-4592.458332,-4867.449759,-5165.096958,-5165.096958,-5019.714528,-2932.461728,-3752.838394,-2620.976122,1,9
-4467.268685,-4742.741357,-5026.168381,-5026.168381,-4888.075417,-2856.638231,-3637.234319,-2555.103094,1,9
-4342.074115,-4621.671344,-4890.840677,-4890.840677,-4758.325482,-2782.856184,-3526.952009,-2489.916401,1,9
-4219.907368,-4503.722121,-4759.97216,-4759.97216,-4630.269289,-2711.355127,-3422.611561,-2425.250811,1,9
-4096.952161,-4387.678063,-4634.947324,-4634.947324,-4504.834172,-2643.245371,-3322.148992,-2361.254458,1,9
-3976.226258,-4273.072279,-4510.659509,-4510.659509,-4382.842805,-2576.736959,-3226.313029,-2298.067466,1,9
-3856.8192,-4159.546544,-4389.3745,-4389.3745,-4260.19006,-2512.489913,-3132.941932,-2235.882606,1,9
-3740.006604,-4047.728814,-4266.843893,-4266.843893,-4139.737444,-2448.65539,-3042.601516,-2175.865786,1,9
-3624.168774,-3938.643094,-4145.813953,-4145.813953,-4017.734908,-2385.963959,-2953.378811,-2116.758081,1,9
-3510.148517,-3828.707706,-4025.337439,-4025.337439,-3897.16989,-2322.675169,-2864.729717,-2059.335233,1,9
-3397.608189,-3721.035273,-3906.800223,-3906.800223,-3777.541206,-2259.343973,-2777.910337,-2002.131701,1,9
-3287.82388,-3612.42548,-3789.352556,-3789.352556,-3660.081451,-2196.13709,-2694.315249,-1946.033201,1,9
-3180.031563,-3505.074166,-3674.454911,-3674.454911,-3543.876158,-2133.035184,-2613.248797,-1889.20691,1,9
-3075.331946,-3398.315295,-3561.686688,-3561.686688,-3430.228934,-2070.403423,-2534.202562,-1833.071356,1,9
-2973.06803,-3293.137487,-3452.408719,-3452.408719,-3318.378816,-2008.487814,-2453.901061,-1777.341843,1,9
-2874.324823,-3189.027087,-3345.576519,-3345.576519,-3209.520921,-1946.139324,-2373.697117,-1722.140557,1,9
-2780.145102,-3087.197438,-3242.256933,-3242.256933,-3103.025069,-1884.96122,-2290.787315,-1667.425104,1,9
-2688.374256,-2987.03935,-3141.818192,-3141.818192,-3000.004641,-1822.691073,-2207.061175,-1613.510499,1,9
-2600.054914,-2889.707286,-3045.308973,-3045.308973,-2899.969851,-1760.185856,-2120.471696,-1558.734674,1,9
-2514.293917,-2794.394094,-2953.878303,-2953.878303,-2803.460585,-1695.588391,-2033.272656,-1503.987482,1,9
-2430.98438,-2702.14001,-2865.846364,-2865.846364,-2712.617457,-1630.07887,-1947.243292,-1447.726893,1,9
-2349.562845,-2612.533278,-2781.768429,-2781.768429,-2626.389697,-1563.404732,-1864.262528,-1391.023711,1,9
-2269.278179,-2526.08534,-2699.076573,-2699.076573,-2544.036359,-1495.92033,-1782.820109,-1332.470452,1,9
-2189.628302,-2443.764706,-2619.506444,-2619.506444,-2462.804379,-1427.813022,-1703.369176,-1274.321711,1,9
-2110.094763,-2363.941501,-2542.122898,-2542.122898,-2382.685143,-1359.595434,-1625.809562,-1215.899957,1,9
-2030.840787,-2287.327571,-2465.490278,-2465.490278,-2301.531456,-1292.282091,-1550.799447,-1157.74512,1,9
-1952.46349,-2212.212428,-2388.882024,-2388.882024,-2219.314843,-1226.664775,-1478.006374,-1099.866985,1,9
-1872.56514,-2139.126762,-2311.810571,-2311.810571,-2136.371091,-1162.336132,-1408.128675,-1042.701832,1,9
-1793.7736,-2066.459096,-2234.506019,-2234.506019,-2053.16482,-1099.805231,-1340.822357,-986.2867031,1,9
-1714.769344,-1994.158959,-2157.81069,-2157.81069,-1970.695252,-1039.055928,-1276.652914,-931.0460699,1,9
-1636.97783,-1922.713178,-2079.423017,-2079.423017,-1891.740394,-980.5431022,-1217.202213,-877.0496933,1,9
-1559.896006,-1852.198646,-2001.151576,-2001.151576,-1814.386567,-924.9480973,-1160.293633,-824.7984555,1,9
-1484.191732,-1782.722133,-1921.171708,-1921.171708,-1739.097387,-871.060419,-1104.791234,-773.9218341,1,9
-1409.477016,-1715.120452,-1843.260494,-1843.260494,-1663.704493,-819.6292547,-1049.076671,-725.1219525,1,9
-1336.35533,-1647.196057,-1765.901078,-1765.901078,-1589.700962,-769.3969501,-993.5041301,-677.9492914,1,9
-1264.597049,-1580.325481,-1689.537088,-1689.537088,-1515.07249,-720.7841768,-936.7131191,-631.3636335,1,9
-1194.943208,-1512.300776,-1614.075172,-1614.075172,-1441.487799,-673.4247725,-879.0404118,-585.9627338,1,9
-1127.103269,-1444.28446,-1540.326057,-1540.326057,-1368.747853,-626.0435971,-821.1798736,-540.6107753,1,9
-1062.262771,-1374.451797,-1468.034661,-1468.034661,-1297.641722,-578.3117226,-763.80165,-495.4785779,1,9
-999.6860049,-1304.179412,-1397.911498,-1397.911498,-1227.825095,-529.9914496,-707.9195913,-450.6241206,1,9
-938.6528478,-1233.447135,-1329.652527,-1329.652527,-1160.698834,-481.0861372,-654.8603469,-405.9351007,1,9
-879.7338344,-1163.284907,-1263.846364,-1263.846364,-1095.369407,-431.8728741,-601.9075927,-361.4695551,1,9
-821.5272179,-1093.503174,-1199.963515,-1199.963515,-1030.730148,-381.1334374,-549.2328895,-317.0724182,1,9
-764.585157,-1024.704687,-1139.286642,-1139.286642,-966.1826362,-330.2015986,-495.7524055,-273.1979013,1,9
-707.6637507,-956.7612029,-1080.96477,-1080.96477,-902.0858602,-278.0857039,-442.451648,-229.058636,1,9
-651.5508759,-890.2390934,-1023.640798,-1023.640798,-838.2299369,-226.1256068,-387.7907967,-183.9454497,1,9
-595.3671873,-824.7487164,-967.8477194,-967.8477194,-775.1915549,-173.9787704,-332.8862689,-138.7131459,1,9
-539.8775439,-760.6002913,-912.2809035,-912.2809035,-714.2012072,-121.4485599,-277.7191464,-92.21092241,1,9
-485.9352387,-697.7029291,-857.1340538,-857.1340538,-654.6041822,-68.98224334,-222.7093002,-45.26439434,1,9
-432.8255187,-636.4108251,-802.5107241,-802.5107241,-597.6192098,-16.96605006,-167.7453135,2.169982801,1,9
-380.1024414,-577.7163365,-748.24057,-748.24057,-542.88067,34.58496986,-113.1470552,49.88199474,1,9
-328.6695415,-520.7320976,-694.448162,-694.448162,-489.440369,85.38087316,-58.92299821,97.87171547,1,9
-276.8809201,-465.8640607,-641.2151256,-641.2151256,-436.2053645,135.6051546,-5.672761106,146.1274738,1,9
-225.6024858,-411.9280653,-589.2123734,-589.2123734,-383.3548587,185.1136808,46.70832356,194.4375041,1,9
-173.3699182,-358.9977269,-537.3164572,-537.3164572,-330.7036444,233.9293222,97.89249294,242.090924,1,9
