VOCs_Extracted_S1,VOCs_Extracted_S2,VOCs_Extracted_S3,VOCs_Extracted_S4,VOCs_Extracted_S5,VOCs_Extracted_S6,VOCs_Extracted_S7,VOCs_Extracted_S8,Stress_Type,Period
-7.145525043,-284.6868353,-521.4072872,-521.4072872,-207.8540093,59.3412992,127.0837571,226.9601422,2,9
44.84699676,-233.8618761,-469.7504338,-469.7504338,-152.3170181,112.0930383,172.5483017,270.4692,2,9
94.85266626,-184.6144118,-419.7686248,-419.7686248,-96.4102417,164.4391115,217.5648508,313.5653501,2,9
143.9803836,-135.7591264,-370.1627746,-370.1627746,-40.26318883,216.0975366,261.975513,356.2244217,2,9
191.6327805,-87.95026955,-321.3305531,-321.3305531,16.00073382,267.0192484,305.7356205,398.1424449,2,9
238.8667657,-40.0498264,-272.156605,-272.156605,71.53790291,316.758871,348.7371211,440.8310211,2,9
285.1610926,7.432251127,-222.6435375,-222.6435375,126.4451519,364.6083795,392.0968256,483.9185713,2,9
331.5554726,54.22785536,-173.030588,-173.030588,180.3797379,411.6081452,434.819357,528.2256561,2,9
378.0330632,100.300808,-123.419568,-123.419568,233.4758047,457.0768132,478.2815738,572.4340187,2,9
424.218774,145.4124237,-74.38847829,-74.38847829,285.4666887,502.0418002,521.7439743,616.8180376,2,9
469.6238727,189.2783504,-26.92141464,-26.92141464,336.4722041,546.5136314,566.3357494,661.2102487,2,9
514.2328158,233.3892201,20.3920819,20.3920819,386.4966618,590.4404326,611.1150234,705.6500413,2,9
557.7478806,277.234365,66.79858391,66.79858391,434.5390102,633.8429138,656.0404538,749.9540214,2,9
601.6618054,321.9084564,113.5460323,113.5460323,481.3905667,676.9375468,700.6156919,794.0656837,2,9
645.3193572,366.3557205,159.7288745,159.7288745,526.5989712,719.8057555,745.0914518,837.5741245,2,9
689.9015236,411.6558869,206.6161053,206.6161053,571.2400981,762.4352817,789.4120318,880.721078,2,9
734.5312693,456.5913219,253.5958166,253.5958166,615.1524747,804.6845708,833.4499748,923.4477222,2,9
780.3149836,501.3478773,300.6034898,300.6034898,659.5534188,847.8420391,876.8498807,965.4456237,2,9
826.3085251,545.6693419,347.3234833,347.3234833,704.2563577,891.1036073,919.6494383,1006.220431,2,9
872.036001,589.6660597,393.8142688,393.8142688,749.0941598,935.6684888,961.6555093,1045.263132,2,9
916.9722847,633.0441371,439.7936248,439.7936248,793.7945278,980.9883411,1002.830675,1083.44806,2,9
961.5509479,676.1807236,485.6194079,485.6194079,838.1693883,1026.515797,1042.90908,1120.252939,2,9
1005.665617,719.0421347,531.0971461,531.0971461,881.1819025,1071.595351,1081.276842,1156.644774,2,9
1049.545163,761.2509535,576.2993935,576.2993935,923.6508273,1116.589606,1118.751587,1192.158225,2,9
1093.009413,802.2325325,620.9756348,620.9756348,965.1628083,1161.37906,1155.267882,1227.734243,2,9
1135.977754,841.7116312,665.1678135,665.1678135,1006.916935,1206.141981,1191.884169,1263.57687,2,9
1178.158654,879.1800043,708.8501331,708.8501331,1048.196019,1250.774876,1228.214512,1299.642261,2,9
1219.585375,914.2305129,750.5130845,750.5130845,1090.17514,1295.26498,1264.169268,1335.533246,2,9
1260.001716,947.7533202,790.4810491,790.4810491,1132.02171,1339.25827,1299.859638,1371.055007,2,9
1298.536751,979.3569321,828.8470122,828.8470122,1173.78543,1382.795426,1335.446243,1406.097799,2,9
1336.181828,1010.108234,866.839117,866.839117,1215.234778,1425.681756,1370.917299,1441.588907,2,9
1372.972796,1040.077094,904.4739348,904.4739348,1256.630843,1466.642045,1406.176015,1476.85688,2,9
1409.897677,1070.30962,941.8166624,941.8166624,1297.438443,1506.430082,1441.068227,1512.948389,2,9
1446.613246,1100.142712,978.9724522,978.9724522,1337.880363,1544.866181,1476.57056,1549.235188,2,9
1483.942309,1129.428819,1016.065532,1016.065532,1378.483079,1582.861948,1512.172317,1586.704657,2,9
1521.332982,1158.143031,1053.155388,1053.155388,1419.224477,1620.086996,1548.792742,1624.835153,2,9
1558.502301,1186.153284,1090.115594,1090.115594,1459.880906,1657.519502,1585.524862,1663.44061,2,9
1595.229813,1213.529397,1125.706761,1125.706761,1500.424449,1694.785324,1622.347945,1702.02495,2,9
1631.159767,1241.523561,1160.898781,1160.898781,1540.457263,1731.67232,1659.089569,1740.523608,2,9
1665.676197,1269.899147,1195.679731,1195.679731,1579.332518,1768.136467,1695.788478,1778.7236,2,9
1700.179126,1299.979255,1231.081233,1231.081233,1617.724579,1803.986127,1732.243777,1816.430298,2,9
1734.592976,1331.554052,1266.362775,1266.362775,1655.061575,1838.480964,1768.546337,1853.378954,2,9
1769.833447,1365.706128,1301.539597,1301.539597,1691.768616,1872.870192,1804.636716,1889.599527,2,9
1805.385489,1401.642074,1336.444302,1336.444302,1728.036371,1907.149255,1840.510048,1924.972921,2,9
1842.017584,1439.691148,1371.131668,1371.131668,1764.186954,1942.405862,1876.111684,1959.650281,2,9
1878.779896,1479.903265,1405.340628,1405.340628,1799.953582,1978.158007,1911.493383,1993.658077,2,9
