Time_aligned_s,Chan.1 - Raw (mV),Chan.2 - Raw (mV),Chan.3 - Raw (mV),Chan.4 - Raw (mV),Chan.5 - Raw (mV),Chan.6 - Raw (mV),Chan.7 - Raw (mV),Chan.8 - Raw (mV),Stress_Type,Period
0,31.7,-56.3,-572.3,-572.3,-353.4,1017.8,17,278.3,0,12
0.5,134.9,-56.3,-463.8,-463.8,-225.3,1102.2,17,352.9,0,12
1,134.9,29.3,-463.8,-463.8,-225.3,1102.2,111.5,352.9,0,12
1.5,221.1,29.3,-383.1,-383.1,-118.8,1177.2,111.5,435.9,0,12
2,221.1,116,-383.1,-383.1,-18.6,1177.2,200.6,435.9,0,12
2.5,313.5,116,-261.9,-261.9,-18.6,1250.5,200.6,514.2,0,12
3,313.5,207.8,-261.9,-261.9,82.5,1250.5,289.1,514.2,0,12
3.5,407.1,207.8,-167.6,-167.6,82.5,1321,289.1,594.6,0,12
4,407.1,297.9,-167.6,-167.6,178.1,1321,382.1,594.6,0,12
4.5,499.5,297.9,-69.1,-69.1,178.1,1381.4,382.1,673.3,0,12
5,499.5,383.2,15,15,273.4,1381.4,470.9,673.3,0,12
5.5,585.2,383.2,15,15,273.4,1459.5,533.3,753.5,0,12
6,585.2,475.7,106.9,106.9,366.9,1459.5,533.3,753.5,0,12
6.5,651.7,475.7,106.9,106.9,366.9,1519.7,631.9,825.2,0,12
7,651.7,550.7,200.3,200.3,456.2,1519.7,631.9,825.2,0,12
7.5,756.4,550.7,200.3,200.3,456.2,1581.3,715.3,899.8,0,12
8,756.4,628.4,290.6,290.6,539.2,1581.3,715.3,973.3,0,12
8.5,834.9,628.4,290.6,290.6,539.2,1646.4,793.5,973.3,0,12
9,834.9,713.2,377.1,377.1,633,1646.4,793.5,1049.7,0,12
9.5,919.7,713.2,377.1,377.1,633,1705.3,870.3,1049.7,0,12
10,1000.9,789.9,446.1,446.1,719.9,1705.3,870.3,1145.1,0,12
10.5,1000.9,911.2,446.1,446.1,719.9,1730.9,1001.3,1145.1,0,12
11,1053.7,911.2,545.2,545.2,810.4,1730.9,1001.3,1194.7,0,12
11.5,1053.7,949.9,545.2,545.2,810.4,1826.5,1024.8,1194.7,0,12
12,1158.6,949.9,624.8,624.8,886.1,1883.6,1024.8,1262.5,0,12
12.5,1158.6,1019.6,624.8,624.8,886.1,1883.6,1091.7,1262.5,0,12
13,1224.3,1019.6,701,701,971.2,1942.9,1091.7,1336.2,0,12
13.5,1224.3,1095.7,701,701,971.2,1942.9,1174.3,1336.2,0,12
