Time_aligned_s,Chan.1 - Raw (mV),Chan.2 - Raw (mV),Chan.3 - Raw (mV),Chan.4 - Raw (mV),Chan.5 - Raw (mV),Chan.6 - Raw (mV),Chan.7 - Raw (mV),Chan.8 - Raw (mV),Stress_Type,Period
0,118.4,-75.9,-279.9,-279.9,-23.4,373.4,277.7,243.9,1,0
0.5,118.4,-75.9,-182.2,-182.2,-23.4,373.4,369,333.2,1,0
1,214.5,18.3,-182.2,-182.2,70.1,471.5,369,333.2,1,0
1.5,214.5,18.3,-88.4,-88.4,70.1,471.5,448.5,415.2,1,0
2,307.5,115,-88.4,-88.4,168.4,550.5,448.5,415.2,1,0
2.5,307.5,115,4,4,168.4,550.5,524.9,498.1,1,0
3,400.3,205.5,4,4,263,639.1,524.9,498.1,1,0
3.5,400.3,205.5,91.4,91.4,263,720.7,621.7,575.1,1,0
4,491,297.4,187.4,187.4,357,720.7,621.7,575.1,1,0
4.5,491,297.4,187.4,187.4,357,800.5,709.3,653,1,0
5,571.8,377.9,275.9,275.9,447.5,800.5,709.3,653,1,0
5.5,571.8,462.2,275.9,275.9,544.6,883.1,782.5,728.8,1,0
6,658,462.2,358.2,358.2,544.6,883.1,782.5,728.8,1,0
6.5,658,550.2,358.2,358.2,629.5,967.3,865.3,812,1,0
7,751.3,550.2,455.4,455.4,629.5,967.3,865.3,812,1,0
7.5,751.3,634.3,455.4,455.4,721.2,1056.9,987.9,882.9,1,0
8,831.5,634.3,528.2,528.2,721.2,1056.9,987.9,967,1,0
8.5,913.4,711.1,528.2,528.2,804.5,1127.1,1018.8,967,1,0
9,913.4,711.1,611.7,611.7,804.5,1127.1,1018.8,1042,1,0
9.5,994.9,794.4,611.7,611.7,887.9,1203.8,1094.5,1042,1,0
10,994.9,794.4,694.9,694.9,887.9,1203.8,1094.5,1113.1,1,0
10.5,1079.2,857,694.9,694.9,967.5,1272.3,1171.2,1113.1,1,0
11,1079.2,857,766.4,766.4,967.5,1272.3,1171.2,1188.6,1,0
11.5,1152.3,950.4,766.4,766.4,1084.5,1361.8,1243.5,1188.6,1,0
12,1152.3,950.4,846.6,846.6,1084.5,1361.8,1300.9,1244.3,1,0
12.5,1219.3,1031.2,846.6,846.6,1130.6,1426.9,1300.9,1244.3,1,0
13,1219.3,1031.2,918.4,918.4,1130.6,1426.9,1387.6,1326.4,1,0
13.5,1307.6,1101.3,918.4,918.4,1197.2,1511.3,1387.6,1326.4,1,0
