Time_aligned_s,VOCs_Extracted_S1,VOCs_Extracted_S2,VOCs_Extracted_S3,VOCs_Extracted_S4,VOCs_Extracted_S5,VOCs_Extracted_S6,VOCs_Extracted_S7,VOCs_Extracted_S8,Stress_Type,Period
0.0,761.370694,442.0009831,328.0939751,328.0939751,549.0150191,1060.091665,903.4233369,952.850792,1,12
1.0,804.448203,469.1874746,369.9376265,369.9376265,593.6460868,1100.9486,940.6584231,992.8252066,1,12
2.0,846.3739518,492.9227175,411.8278004,411.8278004,639.2205031,1141.638669,977.7079179,1032.267955,1,12
3.0,887.1629613,514.3273369,453.5620414,453.5620414,684.8252965,1182.549499,1015.650399,1071.061875,1,12
4.0,928.045995,532.4878596,494.791868,494.791868,731.5641836,1223.802823,1053.756794,1108.701629,1,12
5.0,968.0954821,548.2474487,536.8347421,536.8347421,778.2971796,1265.287655,1092.911884,1144.720137,1,12
6.0,1008.044006,560.5947219,578.9433508,578.9433508,825.1482966,1306.812081,1132.105699,1179.808627,1,12
7.0,1047.309546,569.173493,622.1982538,622.1982538,872.1382468,1348.57643,1171.426968,1213.155827,1,12
8.0,1086.633462,573.3435516,665.5848589,665.5848589,919.0292575,1390.516795,1210.347429,1245.648736,1,12
9.0,1125.348169,572.8572088,709.2119719,709.2119719,965.1312927,1432.518286,1248.839483,1277.256485,1,12
10.0,1162.928324,567.4046499,752.9381012,752.9381012,1010.511821,1474.260173,1286.678301,1308.099336,1,12
11.0,1198.955181,556.989835,796.7530492,796.7530492,1054.901557,1515.090595,1323.919221,1338.621482,1,12
12.0,1234.665351,541.369352,840.3692527,840.3692527,1098.175734,1554.476246,1360.4349,1369.416657,1,12
13.0,1270.06556,520.8619609,883.5461598,883.5461598,1140.108126,1592.223326,1396.212736,1400.749632,1,12
14.0,1306.338411,495.6042589,925.9014829,925.9014829,1180.859296,1629.133648,1431.076485,1432.595353,1,12
15.0,1342.467255,466.1460706,967.5232621,967.5232621,1220.344369,1664.538127,1465.224369,1464.992665,1,12
16.0,1379.659518,433.0566648,1008.125005,1008.125005,1258.463096,1699.431792,1498.56018,1498.680216,1,12
17.0,1417.424011,396.497456,1047.692733,1047.692733,1296.499031,1733.618826,1530.562764,1532.798391,1,12
18.0,1456.660544,358.4063693,1085.989812,1085.989812,1333.82502,1768.038103,1561.922556,1568.289593,1,12
19.0,1496.337733,319.8313926,1122.56709,1122.56709,1371.255409,1802.368525,1592.451901,1604.478704,1,12
20.0,1536.355323,283.5907084,1158.378683,1158.378683,1408.782739,1836.402746,1623.115472,1641.090905,1,12
21.0,1576.451382,251.5391763,1193.061836,1193.061836,1446.277867,1869.663364,1653.699029,1677.903385,1,12
22.0,1616.635229,225.9630724,1227.517279,1227.517279,1483.62271,1902.251679,1685.215101,1715.05714,1,12
23.0,1656.921436,209.7369586,1261.702653,1261.702653,1520.865169,1934.581015,1717.628729,1752.264162,1,12
24.0,1697.27709,205.9395465,1295.602566,1295.602566,1558.109537,1967.537378,1750.998941,1789.15466,1,12
25.0,1737.152053,217.9902988,1329.414064,1329.414064,1595.239233,2000.524336,1785.436631,1825.504433,1,12
26.0,1776.551434,249.5872147,1363.260258,1363.260258,1632.13068,2034.577558,1821.053264,1861.114803,1,12
27.0,1815.385547,304.4896117,1397.28318,1397.28318,1669.977625,2069.132083,1858.090862,1895.748658,1,12
28.0,1853.386013,388.2916452,1431.363665,1431.363665,1707.942005,2104.942866,1897.65102,1929.598895,1,12
29.0,1890.182947,505.4426598,1465.15348,1465.15348,1746.800067,2141.165815,1939.427608,1962.681927,1,12
30.0,1925.457294,662.3117659,1499.770993,1499.770993,1785.769877,2177.525562,1984.572453,1994.611847,1,12
31.0,1960.2448,863.8993686,1534.611073,1534.611073,1824.652558,2213.567545,2032.546114,2026.405637,1,12
32.0,1994.437024,1116.289248,1570.36794,1570.36794,1863.116272,2249.8233,2084.898452,2057.578548,1,12
33.0,2029.296239,1425.65889,1606.281339,1606.281339,1901.27347,2286.561403,2140.029617,2088.72225,1,12
34.0,2064.312702,1798.511355,1642.287828,1642.287828,1939.093021,2323.42793,2200.414881,2119.475965,1,12
35.0,2099.799477,2241.283673,1678.286619,1678.286619,1976.754194,2360.194441,2266.569387,2150.655763,1,12
36.0,2136.186995,2760.489061,1714.206122,1714.206122,2014.400376,2396.617665,2338.793179,2181.893832,1,12
37.0,2173.61244,3362.070148,1749.850585,1749.850585,2051.883828,2432.089613,2416.769119,2213.655476,1,12
38.0,2211.996722,4052.812633,1785.151768,1785.151768,2088.676376,2467.110333,2499.690125,2245.554888,1,12
39.0,2251.020019,4838.01877,1819.988048,1819.988048,2124.786849,2501.457059,2586.229565,2278.574864,1,12
40.0,2290.313816,5722.309556,1854.50661,1854.50661,2159.713897,2535.054732,2674.650063,2312.589705,1,12
41.0,2330.399409,6709.310072,1888.521653,1888.521653,2193.605311,2567.827524,2762.69884,2348.225678,1,12
42.0,2370.402254,7801.547998,1922.071593,1922.071593,2226.71095,2599.847403,2848.45305,2384.651209,1,12
43.0,2410.721444,8999.920372,1955.130102,1955.130102,2259.398267,2631.088555,2929.055326,2422.029884,1,12
44.0,2450.298452,10303.50812,1987.126367,1987.126367,2291.914841,2661.555622,2999.70541,2459.034697,1,12
45.0,2489.405599,11708.75782,2018.582147,2018.582147,2324.508716,2691.252138,3064.701869,2495.493832,1,12
46.0,2526.958562,13209.19124,2049.62624,2049.62624,2357.213531,2720.115352,3124.044704,2529.830954,1,12
47.0,2563.66495,14795.06048,2079.956636,2079.956636,2389.863632,2748.024105,3177.733913,2561.581328,1,12
48.0,2599.524763,16417.38109,2111.480654,2111.480654,2422.099075,2775.758186,3225.769498,2589.686341,1,12
49.0,2634.538003,18109.25344,2145.022943,2145.022943,2453.576696,2802.945902,32137.81139,2612.906556,1,12
50.0,2668.704667,19870.67751,2181.106938,2181.106938,2483.619689,2829.587253,23305.83901,2632.543209,1,12
51.0,8240.221922,21701.65332,2219.581588,2219.581588,2511.474144,2855.682239,15410.5837,2648.596299,1,12
52.0,8307.709853,23602.18086,2259.747461,2259.747461,2537.845692,2881.230859,8452.045478,2661.065826,1,12
53.0,7856.878527,41103.47302,2300.097635,2300.097635,2562.734334,15138.7208,2430.224328,2669.95179,1,12
54.0,6887.727944,40098.89268,2338.262187,2338.262187,2586.140069,13469.1754,-2654.879745,4407.966267,1,12
55.0,5400.258106,38472.7492,2372.649807,2372.649807,2608.062897,11843.8254,-6515.77589,3007.704639,1,12
56.0,3394.469012,36225.04259,2400.670889,2400.670889,10550.20146,10262.67081,-9562.267281,1739.86216,1,12
