VOCs_Extracted_S1,VOCs_Extracted_S2,VOCs_Extracted_S3,VOCs_Extracted_S4,VOCs_Extracted_S5,VOCs_Extracted_S6,VOCs_Extracted_S7,VOCs_Extracted_S8,Stress_Type,Period
361.9388944,245.0502949,-325.8415421,-325.8415421,34.00724241,620.3189348,291.2897219,488.186915,0,0
406.0166957,293.9033014,-271.8102455,-271.8102455,83.03070203,660.2695386,335.0875621,533.0752138,0,0
450.0771204,342.0432747,-218.2375341,-218.2375341,131.4968726,699.2635174,379.3898958,577.6249037,0,0
494.2293364,389.7472521,-165.2115156,-165.2115156,179.1699621,738.629217,425.2400539,621.8725851,0,0
538.3988568,436.8376772,-113.2655818,-113.2655818,225.856804,777.5667137,471.3246932,665.6307471,0,0
582.2252534,483.4885353,-62.31033944,-62.31033944,271.2490875,816.6889089,517.6849252,708.6626654,0,0
625.2717621,529.5241629,-12.62272517,-12.62272517,316.8215082,855.5744427,563.9566041,750.4925863,0,0
667.2550891,575.1431902,34.97083563,34.97083563,361.9008544,893.9163646,610.1126235,790.2407317,0,0
709.3223711,620.0431641,81.40304341,81.40304341,407.988197,931.6503296,655.8070926,828.726398,0,0
750.639267,663.5554649,126.1518256,126.1518256,454.4684572,969.7786185,700.970212,865.5110837,0,0
792.4554282,706.4699729,170.3604724,170.3604724,502.3098649,1007.56512,745.3393695,901.5645853,0,0
834.1455057,747.4055994,213.9128614,213.9128614,550.1012781,1046.102091,789.0378959,936.5324612,0,0
876.7578679,787.0077446,256.8096803,256.8096803,598.0530481,1084.706205,831.8383843,971.4204374,0,0
919.5301116,825.1647562,299.1420072,299.1420072,645.9158475,1124.575079,873.7538854,1006.094427,0,0
962.4328316,862.8538366,340.78763,340.78763,693.7572514,1164.689824,914.4960961,1040.621165,0,0
1005.318837,899.655055,381.8027809,381.8027809,741.282403,1205.467121,953.6101677,1074.924084,0,0
1048.331213,936.5206925,422.4512283,422.4512283,788.4235255,1246.231383,992.0368258,1108.925487,0,0
1091.255065,973.2831025,462.5357115,462.5357115,834.8659113,1286.940874,1029.42094,1142.37307,0,0
1134.095118,1009.53937,503.3781253,503.3781253,880.6709422,1327.41674,1066.765738,1176.403458,0,0
1176.600014,1044.784027,544.2447442,544.2447442,925.5864926,1367.475552,1103.652022,1210.561466,0,0
1218.873882,1079.914266,586.5278993,586.5278993,969.521026,1406.834393,1141.031775,1245.906758,0,0
1260.753645,1113.807137,629.491459,629.491459,1012.115945,1445.511432,1178.220993,1281.905893,0,0
1302.010751,1147.827857,673.1293859,673.1293859,1052.949626,1483.408871,1215.784039,1319.395969,0,0
1342.396191,1181.918317,716.9583637,716.9583637,1092.982893,1520.862821,1253.29899,1357.591381,0,0
1381.177665,1217.27603,760.7570228,760.7570228,1131.772601,1557.52206,1290.16703,1396.478028,0,0
1419.191628,1253.358619,804.3289888,804.3289888,1170.333982,1593.388537,1325.929311,1435.556435,0,0
