Time_aligned_s,Chan.1 - Raw (mV),Chan.2 - Raw (mV),Chan.3 - Raw (mV),Chan.4 - Raw (mV),Chan.5 - Raw (mV),Chan.6 - Raw (mV),Chan.7 - Raw (mV),Chan.8 - Raw (mV),Stress_Type,Period
0,-183.3,-370.9,-595.6,-595.6,-353.1,76.6,-203.6,137.7,2,0
0.5,-183.3,-370.9,-595.6,-595.6,-231.5,178.5,-98.2,137.7,2,0
1,-82.2,-271.6,-495.5,-495.5,-127,178.5,-98.2,221.8,2,0
1.5,-82.2,-271.6,-495.5,-495.5,-127,285.3,-5.4,221.8,2,0
2,17,-169.2,-420.3,-420.3,-28.1,285.3,-5.4,312.8,2,0
2.5,17,-169.2,-420.3,-420.3,-28.1,366.3,97,312.8,2,0
3,111.1,-88.1,-294,-294,72.3,366.3,97,400,2,0
3.5,111.1,-88.1,-294,-294,72.3,459.9,182.4,400,2,0
4,208.8,21.1,-196.3,-196.3,175.1,459.9,182.4,487.2,2,0
4.5,208.8,21.1,-196.3,-196.3,175.1,547.7,273.3,487.2,2,0
5,306.6,114.2,-97.5,-97.5,266.2,639,273.3,570.2,2,0
5.5,306.6,114.2,-97.5,-97.5,266.2,639,368.7,570.2,2,0
6,397,201.7,2.3,2.3,358.5,724.5,368.7,654.4,2,0
6.5,487,201.7,2.3,2.3,358.5,724.5,445.7,654.4,2,0
7,487,290.4,91.1,91.1,452,813.3,445.7,732.3,2,0
7.5,572.2,389,91.1,91.1,452,813.3,522.7,732.3,2,0
8,572.2,389,177,177,547.4,898.2,522.7,810.3,2,0
8.5,659.9,471.2,177,177,547.4,898.2,621,810.3,2,0
9,659.9,471.2,267.7,267.7,631.4,988.6,621,896.2,2,0
9.5,751.3,553.2,267.7,267.7,631.4,988.6,705.6,974.9,2,0
10,751.3,553.2,345.7,345.7,723.4,1063.5,705.6,974.9,2,0
10.5,832,630.8,345.7,345.7,723.4,1063.5,785,1090,2,0
11,832,630.8,434.2,434.2,802.6,1152.2,785,1090,2,0
11.5,915.7,720.9,519.4,519.4,802.6,1152.2,864.7,1127,2,0
12,915.7,720.9,519.4,519.4,890.4,1196.8,921.9,1127,2,0
12.5,1002.1,795.4,606.3,606.3,890.4,1196.8,921.9,1208.9,2,0
13,1002.1,795.4,606.3,606.3,974.7,1313.6,1021.9,1208.9,2,0
13.5,1109.1,924.4,685.1,685.1,974.7,1313.6,1021.9,1279.1,2,0
14,1109.1,924.4,685.1,685.1,1063,1385.5,1095.8,1279.1,2,0
14.5,1158.2,956.4,767.2,767.2,1141.6,1385.5,1095.8,1351.9,2,0
15,1158.2,956.4,767.2,767.2,1141.6,1470.9,1168.2,1351.9,2,0
15.5,1226,1035.8,841.6,841.6,1210.8,1470.9,1168.2,1461,2,0
16,1226,1035.8,841.6,841.6,1210.8,1548.9,1246.6,1461,2,0
16.5,1313.1,1105.1,917,917,1298.3,1548.9,1246.6,1496.6,2,0
17,1313.1,1105.1,917,917,1298.3,1643.7,1326.1,1496.6,2,0
17.5,1388.8,1181.9,995.9,995.9,1374.4,1643.7,1326.1,1571.4,2,0
18,1388.8,1181.9,995.9,995.9,1374.4,1699.8,1391.3,1571.4,2,0
18.5,1485.6,1292.8,1082.4,1082.4,1469.1,1774.4,1391.3,1636.8,2,0
19,1536.4,1324.8,1082.4,1082.4,1469.1,1774.4,1461.2,1636.8,2,0
19.5,1536.4,1324.8,1143,1143,1523.8,1847.4,1461.2,1707.4,2,0
20,1614.5,1398.9,1143,1143,1523.8,1847.4,1536.7,1707.4,2,0
20.5,1614.5,1398.9,1217,1217,1600.3,1919.4,1536.7,1776.4,2,0
21,1684.2,1467.6,1217,1217,1600.3,1919.4,1601.3,1776.4,2,0
21.5,1684.2,1467.6,1311.6,1311.6,1671,1990.5,1601.3,1842.1,2,0
22,1754.9,1538,1311.6,1311.6,1671,1990.5,1667.9,1842.1,2,0
22.5,1754.9,1538,1357.9,1357.9,1746.8,2059.7,1667.9,1906.7,2,0
23,1825.1,1609.2,1357.9,1357.9,1746.8,2059.7,1737.8,1963.8,2,0
23.5,1825.1,1609.2,1428,1428,1812.6,2122.9,1737.8,1963.8,2,0
24,1894.8,1674.7,1493.9,1493.9,1812.6,2122.9,1811,2039.7,2,0
24.5,1894.8,1674.7,1493.9,1493.9,1887.3,2198.3,1861,2039.7,2,0
25,1960.7,1732.1,1561.9,1561.9,1887.3,2198.3,1861,2113.4,2,0
25.5,1960.7,1732.1,1561.9,1561.9,1951.5,2271.4,1932.9,2113.4,2,0
26,2028.4,1796.2,1632.5,1632.5,1951.5,2271.4,1932.9,2162.6,2,0
26.5,2028.4,1796.2,1632.5,1632.5,2024.3,2340.2,1995.6,2162.6,2,0
27,2097.9,1868.3,1697.3,1697.3,2092.1,2340.2,1995.6,2232.9,2,0
27.5,2097.9,1868.3,1697.3,1697.3,2092.1,2398.3,2054.7,2232.9,2,0
28,2153.4,1936.6,1764.6,1764.6,2163.2,2398.3,2054.7,2296.9,2,0
28.5,2153.4,1936.6,1764.6,1764.6,2163.2,2472.2,2121.4,2296.9,2,0
29,2213.7,1994.4,1820.3,1820.3,2212.6,2472.2,2121.4,2359.9,2,0
29.5,2213.7,1994.4,1820.3,1820.3,2212.6,2532.9,2185.3,2359.9,2,0
30,2294.8,2064.6,1891.9,1891.9,2292.5,2603.6,2185.3,2419.7,2,0
