Time (s),Chan.4 - Raw (mV),Chan.8 - Raw (mV)
0,138.9,2424.1
0.5,228,2474.3
1,228,2474.3
1.5,228,2526.9
2,228,2526.9
2.5,399.8,2594.1
3,399.8,2594.1
3.5,491.4,2648.6
4,491.4,2648.6
4.5,565.9,2709.6
5,565.9,2709.6
5.5,646.8,2766.5
6,721.9,2766.5
6.5,721.9,2827.8
7,801.3,2827.8
7.5,801.3,2873.1
8,878.5,2873.1
8.5,878.5,2873.1
9,944.5,2976.2
9.5,944.5,2976.2
10,944.5,3193.6
10.5,944.5,3193.6
11,944.5,3193.6
11.5,944.5,3193.6
12,1170.1,3193.6
12.5,1170.1,-1586.1
13,1239.1,-1586.1
13.5,1239.1,-1586.1
14,1292.2,-1750.4
14.5,1292.2,-1750.4
15,1292.2,-1925.2
15.5,1292.2,-1925.2
16,1448.1,-2016.5
16.5,1516.3,-2016.5
17,1516.3,-2182
17.5,1578.4,-2182
18,1578.4,-2501.4
18.5,1646.3,-2501.4
19,1646.3,-2530.1
19.5,1710.5,-2530.1
20,1710.5,-2446.9
20.5,1764.2,-2301.7
21,1764.2,-2301.7
21.5,1833.2,-2217.8
22,1833.2,-2217.8
22.5,1895.8,-2155.9
23,1895.8,-2155.9
23.5,1953.5,-2099.6
24,1953.5,-2099.6
24.5,2004.5,-2054.7
25,2004.5,-2054.7
25.5,2075.4,-2021.7
26,2149.6,-2021.7
26.5,2149.6,-1999.7
27,2194.9,-1999.7
27.5,2194.9,-1967.3
28,2252.9,-1967.3
28.5,2252.9,-1911.4
29,2310.1,-1911.4
29.5,2310.1,-1850.5
30,2366.2,-1850.5
30.5,2366.2,-1793.2
31,2422.5,-1793.2
31.5,2422.5,-1722.6
32,2473.8,-1588.7
32.5,2473.8,-1588.7
33,2569.8,-1581.9
33.5,2569.8,-1581.9
34,2569.8,-1519
34.5,2569.8,-1519
35,2569.8,-1451.6
35.5,-15421.7,-1451.6
36,-15421.7,-1385
36.5,-15307.8,-1385
37,-15307.8,-1316.6
37.5,-14861.5,-1316.6
38,-14861.5,-1259.6
38.5,-14208.9,-1259.6
39,-14208.9,-1203.8
39.5,-14208.9,-1203.8
40,-13496.7,-1144.3
40.5,-12763.8,-1144.3
41,-12763.8,-1091.7
41.5,-12147.9,-1091.7
42,-12147.9,-1053.4
42.5,-11644.4,-993.2
43,-11644.4,-993.2
43.5,-11193.5,-943.6
44,-11193.5,-943.6
44.5,-10880.7,-870
45,-10880.7,-870
45.5,-10536.7,-800.8
46,-10536.7,-800.8
46.5,-10360.1,-753.8
47,-10360.1,-753.8
47.5,-10088.1,-641.3
48,-10088.1,-641.3
48.5,-9598.7,-563.4
49,-9598.7,-563.4
49.5,-9132.5,-487.5
50,-9132.5,-487.5
50.5,-8665.1,-427.4
51,-8237.8,-427.4
51.5,-8237.8,-370.9
52,-7822.4,-370.9
52.5,-7822.4,-318.1
53,-7430.2,-318.1
53.5,-7430.2,-262.1
54,-7046.4,-203.4
54.5,-7046.4,-203.4
55,-6642.4,-132.2
55.5,-6642.4,-132.2
56,-6357.4,127.7
56.5,-6357.4,127.7
57,-6043.8,15.9
57.5,-6043.8,15.9
58,-5734.5,80.9
58.5,-5734.5,80.9
59,-5448.4,162.1
59.5,-5448.4,162.1
60,-5170.9,236
60.5,-5170.9,236
61,-4897,310.8
61.5,-4897,310.8
62,-4639.9,376
62.5,-4400.9,376
63,-4400.9,445.2
