Time (s),Chan.4 - Raw (mV),Chan.8 - Raw (mV)
0,-7150.7,-2926.4
0.5,-6725.9,-2926.4
1,-6725.9,-3344.9
1.5,-6441.8,-3344.9
2,-6441.8,-3681.2
2.5,-6122.5,-3681.2
3,-6122.5,-4046.1
3.5,-5812.1,-4046.1
4,-5812.1,-4300
4.5,-5518.7,-4300
5,-5518.7,-4643.6
5.5,-5233.4,-4643.6
6,-5233.4,-4753
6.5,-4968.5,-4753
7,-4968.5,-4903.9
7.5,-4716.7,-4903.9
8,-4716.7,-5155.9
8.5,-4459.4,-5155.9
9,-4459.4,-5327.6
9.5,-4223.7,-5327.6
10,-4223.7,-5327.6
10.5,-4002.6,-5327.6
11,-3780.5,-5148.6
11.5,-3780.5,-5148.6
12,-3587.7,-5038.8
12.5,-3587.7,-5038.8
13,-3383,-4926.4
13.5,-3383,-4926.4
14,-3196,-4813.4
14.5,-3196,-4709.7
15,-3046,-4709.7
15.5,-3046,-4563.1
16,-2833.6,-4563.1
16.5,-2833.6,-4434.5
17,-2662.8,-4434.5
17.5,-2662.8,-4296.6
18,-2492.9,-4296.6
18.5,-2492.9,-4166.4
19,-2336.7,-4166.4
19.5,-2336.7,-4018.4
20,-2181.6,-4018.4
20.5,-2181.6,-3885.3
21,-2038.2,-3885.3
21.5,-2038.2,-3751.5
22,-1891,-3751.5
22.5,-1891,-3610.6
23,-1753,-3610.6
23.5,-1753,-3471
24,-1617.3,-3471
24.5,-1617.3,-3325.5
25,-1342,-3325.5
25.5,-1342,-3187.6
26,-1356.1,-3187.6
26.5,-1235.5,-3041.8
27,-1235.5,-3041.8
27.5,-1113.2,-2914.2
28,-1113.2,-2914.2
28.5,-991.4,-2779.3
29,-991.4,-2647
29.5,-886.6,-2647
30,-886.6,-2514.7
30.5,-758.4,-2514.7
31,-758.4,-2383.6
31.5,-665.4,-2383.6
32,-665.4,-2259.5
32.5,-559.2,-2259.5
33,-559.2,-2131.8
33.5,-454.5,-2131.8
34,-454.5,-2020.5
34.5,-353.1,-2020.5
35,-353.1,-1890.9
35.5,-256.4,-1890.9
36,-256.4,-1765.3
36.5,-155.4,-1765.3
37,-155.4,-1646.8
37.5,-61.6,-1646.8
38,-61.6,-1523.7
38.5,21.8,-1523.7
39,21.8,-1415.6
39.5,116,-1415.6
40,116,-1296.9
40.5,203.7,-1296.9
41,291,-1187.4
41.5,291,-1187.4
42,376,-1079.8
42.5,376,-1079.8
