Time (s),Chan.4 - Raw (mV),Chan.8 - Raw (mV)
0,1877.3,-986.4
0.5,1929.8,-942.9
1,1929.8,-942.9
1.5,1976.9,-876.2
2,1976.9,-876.2
2.5,2057.2,-831.5
3,2116.7,-831.5
3.5,2116.7,-772
4,2175.2,-724
4.5,2175.2,-724
5,2233.3,-657.9
5.5,2233.3,-657.9
6,2292.1,-611.6
6.5,2292.1,-611.6
7,2348.2,-550
7.5,2348.2,-550
8,2404.9,-493.7
8.5,2404.9,-493.7
9,2460.8,-428.2
9.5,2460.8,-428.2
10,2184.7,-379.4
10.5,2184.7,-379.4
11,2184.7,-316.5
11.5,2184.7,-316.5
12,2184.7,-259.7
12.5,-11089,-259.7
13,-11089,-193.1
13.5,-11532.1,-193.1
14,-11532.1,-135.5
14.5,-11689.7,-75.2
15,-11689.7,-75.2
15.5,-11578,-13.8
16,-11578,-13.8
16.5,-11335.4,44.7
17,-11335.4,44.7
17.5,-11097.2,110.9
18,-11097.2,110.9
18.5,-10808.9,73.5
19,-10808.9,73.5
19.5,-10537.1,235
20,-10537.1,235
20.5,-10312.9,292.7
21,-10312.9,292.7
21.5,-10076.8,355.4
22,-10076.8,355.4
22.5,-9864.1,418.2
23,-9864.1,418.2
23.5,-9762.4,479.4
24,-9762.4,479.4
24.5,-9577.8,535.5
25,-9577.8,535.5
25.5,-9138.7,599.7
26,-9138.7,658.5
26.5,-8722.8,658.5
27,-8332.4,719.9
27.5,-8332.4,719.9
28,-7919.7,761.5
28.5,-7919.7,761.5
29,-7545.1,841.4
29.5,-7545.1,841.4
30,-7192.1,902.1
30.5,-7192.1,902.1
31,-6837.1,954.7
31.5,-6837.1,954.7
32,-6542.8,1021
32.5,-6542.8,1021
33,-6199,1079.7
33.5,-6199,1079.7
34,-5898.1,1140.8
34.5,-5898.1,1140.8
35,-5608.5,1200.2
35.5,-5608.5,1258.9
36,-5339.3,1258.9
36.5,-5081.2,1318.6
37,-5081.2,1318.6
37.5,-4817.2,1380.7
38,-4817.2,1380.7
38.5,-4582.6,1435.5
39,-4582.6,1435.5
39.5,-4343.1,1492.4
40,-4343.1,1492.4
40.5,-4117.3,1555.4
41,-4117.3,1555.4
41.5,-3905.7,1612.1
42,-3905.7,1612.1
42.5,-3694.9,1656.7
43,-3694.9,1656.7
43.5,-3507.4,1728.4
44,-3507.4,1728.4
44.5,-3308.4,1769.4
45,-3308.4,1769.4
45.5,-3124,1843.7
46,-2976.5,1843.7
46.5,-2976.5,1902.3
47,-2776,1979.7
47.5,-2776,1979.7
48,-2615,2016.4
48.5,-2615,2016.4
49,-2452.8,2073.6
49.5,-2452.8,2073.6
50,-2294.7,2131
50.5,-2294.7,2131
51,-2146.7,2185.7
51.5,-2146.7,2185.7
52,-1999.2,2240.1
52.5,-1999.2,2240.1
53,-1863.7,2296.2
53.5,-1863.7,2296.2
54,-1719.5,2353.1
54.5,-1719.5,2353.1
55,-1589.1,2405.9
55.5,-1589.1,2405.9
56,-1369.5,2465
56.5,-1338.6,2465
57,-1338.6,2517.4
57.5,-1213.9,2517.4
58,-1213.9,2567.8
58.5,-1097.3,2627.8
59,-1097.3,2627.8
59.5,-979.2,2684.2
60,-979.2,2684.2
60.5,-870.1,2740
61,-870.1,2740
61.5,-769,2789.7
62,-769,2789.7
62.5,-652.1,2852.1
63,-652.1,2852.1
63.5,-549.4,2896.2
64,-549.4,2896.2
64.5,-445.9,2949.9
65,-445.9,2949.9
65.5,-373.9,3003
66,-373.9,3003
66.5,-251.3,2959.5
67,-251.3,2959.5
67.5,-157,2959.5
68,-64.4,2959.5
68.5,-64.4,2959.5
69,32.8,-1370.3
69.5,32.8,-1370.3
70,115.6,-1560.1
70.5,115.6,-1560.1
71,204.5,-1611.2
71.5,204.5,-1611.2
72,291.9,-1611.2
72.5,291.9,-1611.2
73,376.9,-1919.7
73.5,376.9,-1919.7
74,471.9,-2120.2
74.5,471.9,-2120.2
75,536.5,-2050.6
75.5,536.5,-2050.6
76,622.5,-1971.5
76.5,622.5,-1971.5
77,699.4,-1843.3
77.5,776.4,-1843.3
78,776.4,-1744.8
78.5,853.2,-1744.8
79,853.2,-1688.3
79.5,920.8,-1639.7
80,920.8,-1639.7
80.5,1003.3,-1588.8
81,1003.3,-1588.8
81.5,1094.5,-1543.7
82,1094.5,-1543.7
82.5,1149.2,-1505
83,1149.2,-1505
83.5,1219.2,-1456.4
84,1219.2,-1456.4
84.5,1330,-1417.2
85,1330,-1417.2
85.5,1356.9,-1368.1
86,1356.9,-1368.1
86.5,1423.5,-1317.3
87,1423.5,-1317.3
87.5,1494,-1274.7
88,1494,-1274.7
88.5,1557.7,-1250.2
89,1622.4,-1250.2
89.5,1622.4,-1176.7
90,1687,-1176.7
90.5,1687,-1131.8
91,1735.6,-1075.8
91.5,1735.6,-1075.8
92,1809,-1021.5
92.5,1809,-1021.5
93,1876.7,-970.5
93.5,1876.7,-970.5
94,1941.5,-922
94.5,1941.5,-922
95,1989.8,-875.9
95.5,1989.8,-875.9
96,2053.7,-816.2
96.5,2053.7,-816.2
97,2126.8,-757.8
97.5,2126.8,-757.8
98,2176.2,-706.4
98.5,2176.2,-706.4
99,2233.3,-648.2
99.5,2290.6,-648.2
100,2290.6,-596.3
100.5,2346.3,-596.3
101,2346.3,-536.5
101.5,2404,-536.5
102,2404,-480.2
102.5,2455,-443.5
103,2455,-443.5
103.5,2176.1,-363.9
104,2176.1,-363.9
104.5,2176.1,-306.3
105,2176.1,-306.3
105.5,2176.1,-244.5
106,-11192.9,-244.5
106.5,-11192.9,-190.4
107,-11627.3,-190.4
107.5,-11627.3,-127.3
108,-11769.8,-127.3
108.5,-11769.8,-65.2
109,-11769.8,-65.2
109.5,-11642.8,-4
110,-11642.8,-4
110.5,-11411.6,46.7
111,-11151.2,46.7
111.5,-11151.2,116.5
112,-10861,116.5
112.5,-10861,25.3
113,-10574.8,25.3
113.5,-10574.8,237.4
114,-10339.2,301.5
114.5,-10339.2,301.5
115,-10102.9,357.4
115.5,-10102.9,357.4
116,-9889.4,419
116.5,-9889.4,419
117,-9790.9,479.4
117.5,-9790.9,479.4
118,-9602.6,538.6
118.5,-9602.6,538.6
119,-9166,603.2
119.5,-9166,603.2
120,-8738.6,662.8
120.5,-8738.6,662.8
121,-8327.9,721.1
121.5,-8327.9,721.1
122,-7938.2,790
122.5,-7561.2,790
123,-7561.2,842.3
123.5,-7197.5,842.3
124,-7197.5,903.5
124.5,-6857.9,959.7
125,-6857.9,959.7
125.5,-6517.2,1023
126,-6517.2,1023
126.5,-6207.3,1081.6
127,-6207.3,1081.6
127.5,-5913.1,1142.4
128,-5913.1,1142.4
128.5,-5614.9,1202.2
129,-5614.9,1202.2
129.5,-5343.7,1259.9
130,-5343.7,1259.9
130.5,-5069,1313
131,-5069,1313
131.5,-4822.3,1378.2
132,-4822.3,1378.2
132.5,-4575.7,1441.9
133,-4575.7,1441.9
133.5,-4348.6,1499.7
134,-4122,1499.7
134.5,-4122,1559
135,-3910.8,1612.4
135.5,-3910.8,1612.4
136,-3705.8,1639.1
136.5,-3705.8,1639.1
137,-3509.6,1730.7
137.5,-3509.6,1730.7
138,-3312.2,1783.4
138.5,-3312.2,1783.4
139,-3129.4,1846.1
139.5,-3129.4,1846.1
140,-2965.8,1902.1
140.5,-2965.8,1902.1
141,-2784.3,2003.8
141.5,-2784.3,2003.8
142,-2617.7,2015.8
142.5,-2617.7,2015.8
143,-2454.2,2074.1
143.5,-2296.5,2074.1
144,-2296.5,2131.9
144.5,-2147.1,2131.9
145,-2147.1,2187.1
145.5,-2002.7,2242.6
146,-2002.7,2242.6
146.5,-1862.2,2242.6
147,-1862.2,2242.6
147.5,-1720.3,2359.5
148,-1720.3,2359.5
148.5,-1594.2,2403.6
149,-1594.2,2403.6
149.5,-1395.7,2466.7
150,-1395.7,2466.7
150.5,-1336.4,2520.5
151,-1336.4,2520.5
151.5,-1214.2,2573.3
152,-1214.2,2573.3
152.5,-1096.6,2633.6
153,-1096.6,2633.6
153.5,-981,2688.6
154,-874,2688.6
154.5,-874,2688.6
155,-764.1,2688.6
155.5,-764.1,2791.5
156,-653.1,2791.5
156.5,-653.1,2851.7
157,-553.8,2901.4
157.5,-553.8,2901.4
158,-449.1,2955.5
158.5,-449.1,2955.5
159,-357.5,2999.8
159.5,-357.5,2999.8
160,-250.8,2933.7
160.5,-250.8,2933.7
161,-157.4,2933.7
161.5,-157.4,2933.7
162,-65.6,2933.7
162.5,-65.6,-1353.8
163,13.4,-1353.8
163.5,13.4,-1551
