Time (s),high-1,high-2
0,1898.3,-2045.3
0.5,1898.3,-1897.2
1,1964.7,-1897.2
1.5,2037.6,-1761
2,2037.6,-1761
2.5,2115.9,-1550.6
3,2115.9,-1550.6
3.5,2155.8,-1498.7
4,2155.8,-1498.7
4.5,2228.8,-1370.6
5,2228.8,-1247
5.5,2288.1,-1247
6,2288.1,-1129.5
6.5,2350.5,-1129.5
7,2350.5,-1007.7
7.5,2410.1,-1007.7
8,2410.1,-887.3
8.5,2479,-887.3
9,2479,-782.8
9.5,2533.1,-782.8
10,2533.1,-670.9
10.5,2592,-670.9
11,2592,-571.4
11.5,2651.5,-571.4
12,2651.5,-490.1
12.5,2537.6,-490.1
13,2537.6,-366.7
13.5,2537.6,-366.7
14,2537.6,-267
14.5,2537.6,-267
15,-18376,-166.8
15.5,-18376,-166.8
16,-17827.5,-71.6
16.5,-17827.5,-71.6
17,-16986.1,13.3
17.5,-16986.1,104.3
18,-15997.7,104.3
18.5,-15997.7,194.1
19,-14997.2,194.1
19.5,-14997.2,280.7
20,-13974.8,280.7
20.5,-13974.8,373.9
21,-13069.2,373.9
21.5,-13069.2,444.4
22,-12413.3,444.4
22.5,-12413.3,533.5
23,-11901.9,533.5
23.5,-11901.9,605.4
24,-11538.9,605.4
24.5,-11538.9,694.2
25,-11065.1,694.2
25.5,-11065.1,773.1
26,-10805.3,773.1
26.5,-10588.3,865.9
27,-10588.3,865.9
27.5,-10176.6,924.8
28,-10176.6,924.8
28.5,-9686.5,994.4
29,-9686.5,1076.6
29.5,-9201.3,1076.6
30,-9201.3,1151
30.5,-8733.6,1151
31,-8733.6,1202.9
31.5,-8292.8,1202.9
32,-8292.8,1289.8
32.5,-7877.3,1289.8
33,-7877.3,1362.3
33.5,-7473.3,1362.3
34,-7473.3,1431.1
34.5,-7089.4,1431.1
35,-7089.4,1500.9
35.5,-6738.2,1500.9
36,-6738.2,1563.1
36.5,-6402,1563.1
37,-6073.1,1631.9
37.5,-6073.1,1631.9
38,-5765,1698.9
38.5,-5765,1698.9
39,-5455,1769.3
39.5,-5455,1769.3
40,-5189.1,1824.7
40.5,-5189.1,1892.9
41,-4910.1,1892.9
41.5,-4910.1,1938
42,-4661,1938
42.5,-4661,2009.2
43,-4414.4,2009.2
43.5,-4414.4,2075.1
44,-4183.4,2075.1
44.5,-4183.4,2133.7
45,-3959,2133.7
45.5,-3959,2190.7
46,-3740.4,2190.7
46.5,-3740.4,2247.3
47,-3529.5,2247.3
47.5,-3529.5,2306.8
48,-3329,2306.8
48.5,-3097.1,2365.4
49,-3097.1,2365.4
49.5,-2945.2,2423.7
50,-2945.2,2423.7
50.5,-2766.1,2351.6
51,-2766.1,2351.6
51.5,-2587.7,2351.6
52,-2587.7,2351.6
52.5,-2426.4,-16315.5
53,-2426.4,-16315.5
53.5,-2259.7,-16315.5
54,-2259.7,-16138.4
54.5,-2105.3,-16138.4
55,-2105.3,-15633.9
55.5,-1953.5,-15633.9
56,-1953.5,-14926.3
56.5,-1812.7,-14926.3
57,-1812.7,-14149.1
57.5,-1663.8,-14149.1
58,-1663.8,-13350.8
58.5,-1539.5,-13350.8
59,-1539.5,-12664.8
59.5,-1396.4,-12664.8
60,-1262.8,-12031.5
60.5,-1262.8,-12031.5
61,-1139.7,-11577.6
61.5,-1139.7,-11577.6
62,-1013.7,-11262.6
62.5,-1013.7,-11262.6
63,-899.3,-10833.9
63.5,-899.3,-10833.9
64,-784.7,-10605.6
64.5,-784.7,-10403.7
65,-668,-10403.7
65.5,-668,-10009.5
66,-554.9,-10009.5
66.5,-554.9,-9533.1
67,-446.7,-9533.1
67.5,-446.7,-9080.7
68,-302.5,-9080.7
68.5,-302.5,-8620.5
69,-235.2,-8620.5
69.5,-235.2,-8199.1
70,-131.8,-8199.1
70.5,-131.8,-7794.9
71,-35.4,-7794.9
71.5,-35.4,-7415.8
72,69,-7415.8
72.5,69,-7037.1
73,166.7,-7037.1
73.5,257.5,-6694.1
74,257.5,-6694.1
74.5,345.5,-6367.7
75,345.5,-6367.7
75.5,435.6,-6053.6
76,435.6,-6053.6
76.5,530.4,-5750.1
77,530.4,-5448.4
77.5,599.1,-5448.4
78,599.1,-5194.1
78.5,699.7,-5194.1
79,699.7,-4932.4
79.5,773.6,-4932.4
80,773.6,-4676.9
80.5,871.1,-4676.9
81,871.1,-4435.9
81.5,947.4,-4435.9
82,947.4,-4207.9
82.5,1029.1,-4207.9
83,1029.1,-3988.4
83.5,1106.1,-3988.4
84,1174.8,-3780
84.5,1174.8,-3780
85,1261.3,-3574.6
85.5,1261.3,-3574.6
86,1336,-3376.9
86.5,1336,-3376.9
87,1429.9,-3157
87.5,1429.9,-3157
88,1487.2,-3010.2
88.5,1487.2,-2834.1
89,1560,-2834.1
89.5,1560,-2667.7
90,1631.5,-2667.7
90.5,1631.5,-2504.3
91,1701,-2504.3
91.5,1701,-2343.5
92,1769.2,-2343.5
92.5,1769.2,-2192
93,1839.3,-2192
93.5,1839.3,-2045.4
94,1908.8,-2045.4
94.5,1908.8,-1908.8
95,1964.3,-1908.8
95.5,1964.3,-1761.5
96,2037.6,-1761.5
96.5,2105.5,-1616.9
97,2105.5,-1616.9
97.5,2152.3,-1492.1
98,2152.3,-1492.1
98.5,2225.8,-1370.4
99,2225.8,-1370.4
99.5,2289.2,-1245.7
100,2289.2,-1245.7
100.5,2352.1,-1125.2
101,2352.1,-1006.9
101.5,2411.3,-1006.9
102,2411.3,-907.5
102.5,2471.6,-907.5
103,2471.6,-786.1
103.5,2530.4,-786.1
104,2530.4,-672.3
104.5,2593,-672.3
105,2593,-568.3
105.5,2651.4,-568.3
106,2651.4,-458.9
106.5,2876.7,-458.9
107,2876.7,-365.1
107.5,2876.7,-365.1
108,2876.7,-268.5
108.5,-18204.6,-268.5
109,-18204.6,-169.2
109.5,-18204.6,-169.2
110,-17701.8,-87.6
110.5,-17701.8,-87.6
111,-16885.8,19.3
111.5,-16885.8,103.1
112,-15924.3,103.1
112.5,-15924.3,193.1
113,-14912.9,193.1
113.5,-14912.9,280.4
114,-13913,280.4
114.5,-13913,374.8
115,-13040.4,374.8
115.5,-13040.4,458.2
116,-12389.7,458.2
116.5,-12389.7,538.2
117,-11893.9,538.2
117.5,-11893.9,621
118,-11511.1,621
118.5,-11052,698
119,-11052,698
119.5,-10800.7,771.8
120,-10800.7,771.8
120.5,-10575.4,832.3
121,-10575.4,832.3
121.5,-10167.5,931.7
122,-10167.5,1013.8
122.5,-9673.7,1013.8
123,-9673.7,1076.5
123.5,-9187.7,1076.5
124,-9187.7,1149.1
124.5,-8730,1149.1
125,-8730,1252
125.5,-8282.6,1252
126,-8282.6,1292.8
126.5,-7870,1292.8
127,-7870,1362.8
127.5,-7472.9,1362.8
128,-7472.9,1430.2
128.5,-7085,1430.2
129,-6732.7,1498.8
129.5,-6732.7,1498.8
130,-6394.7,1570.2
130.5,-6394.7,1570.2
131,-6063.4,1631.5
131.5,-6063.4,1631.5
132,-5759,1704.4
132.5,-5759,1704.4
133,-5473.7,1752.8
