Time (s),high-1,high-2
0,-6448.2,-10144.3
0.5,-6448.2,-10003.2
1,-6132.2,-10003.2
1.5,-6132.2,-9855.9
2,-5831.9,-9855.9
2.5,-5831.9,-9483.4
3,-5546.2,-9050.7
3.5,-5546.2,-9050.7
4,-5268.8,-8603.8
4.5,-5268.8,-8603.8
5,-5007,-8230.5
5.5,-4748,-8230.5
6,-4748,-7839.5
6.5,-4510.5,-7839.5
7,-4510.5,-7467.1
7.5,-4271.2,-7467.1
8,-4271.2,-7111.3
8.5,-4045.2,-7111.3
9,-4045.2,-6723.2
9.5,-3836.6,-6723.2
10,-3836.6,-6444.9
10.5,-3624,-6444.9
11,-3624,-6139.2
11.5,-3423.5,-6139.2
12,-3423.5,-5844.2
12.5,-3230.6,-5844.2
13,-3230.6,-5562.6
13.5,-3034.6,-5562.6
14,-3034.6,-5276.8
14.5,-2863.1,-5028.5
15,-2863.1,-5028.5
15.5,-2688.6,-4773.5
16,-2688.6,-4773.5
16.5,-2520,-4541.3
17,-2351.5,-4541.3
17.5,-2351.5,-4306.7
18,-2204.5,-4306.7
18.5,-2204.5,-4085.4
19,-2050,-4085.4
19.5,-2050,-3878.2
20,-1899.8,-3878.2
20.5,-1899.8,-3674.1
21,-1752.9,-3674.1
21.5,-1752.9,-3476.7
22,-1616.8,-3476.7
22.5,-1616.8,-3289.3
23,-1472.6,-3289.3
23.5,-1472.6,-3108.9
24,-1355.9,-3108.9
24.5,-1355.9,-2932.5
25,-1229.5,-2763.3
25.5,-1229.5,-2763.3
26,-1102.5,-2595.4
26.5,-1102.5,-2595.4
27,-976.7,-2438
27.5,-864.2,-2438
28,-864.2,-2285.1
28.5,-738.1,-2285.1
29,-738.1,-2130.7
29.5,-636.3,-2130.7
30,-636.3,-1989.2
30.5,-522.3,-1989.2
31,-522.3,-1852.3
31.5,-419.9,-1852.3
32,-419.9,-1712
32.5,-347.2,-1712
33,-347.2,-1460.1
33.5,-211.6,-1460.1
34,-211.6,-1448.5
34.5,-112.1,-1448.5
35,-112.1,-1326.5
35.5,-9.8,-1326.5
36,-9.8,-1204.3
36.5,89.7,-1088
37,177.2,-1088
37.5,177.2,-964.8
38,274.5,-964.8
38.5,274.5,-869.4
39,366.5,-869.4
39.5,366.5,-751.3
40,455.8,-751.3
40.5,455.8,-641.5
41,543,-641.5
41.5,543,-540.8
42,634.4,-540.8
42.5,634.4,-408.4
43,712.4,-408.4
43.5,712.4,-339.7
44,787.6,-339.7
44.5,787.6,-241.3
45,877.9,-241.3
45.5,877.9,-149.9
46,961.2,-149.9
46.5,961.2,-62.3
47,1013,39
47.5,1117.5,39
48,1117.5,133.5
48.5,1198.2,133.5
49,1198.2,216.8
49.5,1272.5,216.8
50,1272.5,303.7
50.5,1348.6,303.7
51,1348.6,395
51.5,1448.6,395
52,1448.6,462
52.5,1495.1,462
53,1495.1,557.7
53.5,1568.6,557.7
54,1568.6,638.5
54.5,1639.1,638.5
55,1639.1,711.3
55.5,1710,711.3
56,1710,793.7
56.5,1777.8,793.7
57,1777.8,885.5
57.5,1846,945.5
58,1917.5,945.5
58.5,1917.5,1029.3
59,1978.1,1029.3
59.5,1978.1,1092.3
60,2046.8,1092.3
60.5,2046.8,1166.2
61,2119.3,1166.2
61.5,2119.3,1234.3
62,2156.3,1234.3
62.5,2156.3,1306.8
63,2231.6,1306.8
63.5,2231.6,1378.5
64,2298.3,1378.5
64.5,2298.3,1446.4
65,2356.8,1446.4
65.5,2356.8,1513.6
66,2416.5,1513.6
66.5,2416.5,1582.1
67,2481,1582.1
67.5,2481,1643.4
68,2538,1643.4
68.5,2538,1694.6
69,2596.2,1778.9
69.5,2655.4,1778.9
70,2655.4,1837.4
70.5,2593.3,1837.4
71,2593.3,1898.5
71.5,2593.3,1898.5
72,2593.3,1950.7
72.5,2593.3,1950.7
73,-12166.9,2023.5
73.5,-12166.9,2023.5
74,-12166.9,2079.2
74.5,-12566.9,2079.2
75,-12566.9,2143.4
75.5,-12624.1,2143.4
76,-12624.1,2200.4
76.5,-12427.4,2200.4
77,-12427.4,2200.4
77.5,-12102.6,2200.4
78,-12102.6,2315.2
78.5,-11683.9,2315.2
79,-11683.9,2375.8
79.5,-11273.1,2432.1
80,-10971.2,2432.1
80.5,-10971.2,2578.9
81,-10683.5,2578.9
81.5,-10683.5,2578.9
82,-10511.2,2578.9
82.5,-10511.2,2578.9
83,-10203.4,-11974.7
83.5,-10203.4,-11974.7
84,-10058.4,-11974.7
84.5,-10058.4,-12380.2
85,-9908.1,-12380.2
85.5,-9908.1,-12442.9
86,-9545,-12442.9
86.5,-9545,-12303.4
87,-9105.1,-12303.4
87.5,-9105.1,-11969.6
88,-8647.5,-11969.6
88.5,-8647.5,-11621.3
89,-8254.5,-11621.3
89.5,-8254.5,-11282.8
90,-7868.8,-11282.8
90.5,-7868.8,-10962.9
91,-7488.4,-10962.9
91.5,-7128.6,-10641.7
92,-7128.6,-10467.7
92.5,-6765,-10467.7
93,-6765,-10169.8
93.5,-6451.5,-10169.8
94,-6451.5,-10022.4
94.5,-6134.2,-10022.4
95,-6134.2,-9873.6
