Time (s),high-1,high-2
0,-1120.4,2428
0.5,-996.7,2199.3
1,-996.7,2199.3
1.5,-882.1,2199.3
2,-882.1,2199.3
2.5,-752.1,2199.3
3,-752.1,-16281.9
3.5,-650,-16281.9
4,-650,-16281.9
4.5,-533.9,-16103.4
5,-428.2,-16103.4
5.5,-428.2,-15586
6,-334.3,-15586
6.5,-334.3,-14880.4
7,-214.8,-14880.4
7.5,-214.8,-14110.3
8,-113.7,-14110.3
8.5,-113.7,-13339.5
9,-15.4,-13339.5
9.5,-15.4,-12654.3
10,71.4,-12654.3
10.5,71.4,-12027.9
11,173.7,-12027.9
11.5,173.7,-11565.3
12,269.5,-11565.3
12.5,269.5,-11257.6
13,364.6,-11257.6
13.5,364.6,-10819.1
14,454.6,-10819.1
14.5,454.6,-10602
15,542,-10602
15.5,542,-10385.9
16,636.7,-9980.2
16.5,636.7,-9980.2
17,716.7,-9509.1
17.5,716.7,-9509.1
18,804.9,-9044
18.5,804.9,-9044
19,881.6,-8591.5
19.5,963.7,-8591.5
20,963.7,-8171
20.5,1030.7,-8171
21,1030.7,-7771.3
21.5,1124.8,-7771.3
22,1124.8,-7378.9
22.5,1187.9,-7378.9
23,1187.9,-6989.9
23.5,1280.5,-6989.9
24,1280.5,-6673.7
24.5,1353.9,-6673.7
25,1353.9,-6341.7
25.5,1403.1,-6341.7
26,1403.1,-6027.4
26.5,1503.6,-6027.4
27,1503.6,-5725.5
27.5,1573.1,-5725.5
28,1573.1,-5436.8
28.5,1647.3,-5436.8
29,1647.3,-5166.7
29.5,1714.4,-5166.7
30,1714.4,-4910.2
30.5,1784.1,-4910.2
31,1784.1,-4656.7
31.5,1853.2,-4413.4
32,1853.2,-4413.4
32.5,1918.2,-4187.3
33,1918.2,-4187.3
33.5,1980.5,-3961
34,1980.5,-3961
34.5,2050.7,-3757.1
35,2123.9,-3757.1
35.5,2123.9,-3552.2
36,2166.6,-3552.2
36.5,2166.6,-3360.3
37,2240.1,-3360.3
37.5,2240.1,-3139
38,2302.2,-3139
38.5,2302.2,-2989.8
39,2367.5,-2989.8
39.5,2367.5,-2817.4
40,2430.2,-2817.4
40.5,2430.2,-2653.1
41,2487.1,-2653.1
41.5,2487.1,-2484.2
42,2546.4,-2484.2
42.5,2546.4,-2330.1
43,2608.3,-2330.1
43.5,2608.3,-2174.7
44,2664.2,-2174.7
44.5,2664.2,-2029.9
