Time (s),high-1,high-2
0,-2733.1,-742.2
0.5,-2564,-742.2
1,-2564,-633.6
1.5,-2399,-633.6
2,-2399,-533.8
2.5,-2237.7,-533.8
3,-2237.7,-461.7
3.5,-2076.4,-461.7
4,-1927.5,-334.5
4.5,-1927.5,-334.5
5,-1779.7,-237.8
5.5,-1779.7,-136
6,-1640.7,-136
6.5,-1640.7,-39.2
7,-1379.7,-39.2
7.5,-1379.7,44.7
8,-1371.6,44.7
8.5,-1371.6,133.9
9,-1241.4,133.9
9.5,-1241.4,222.4
10,-1113.7,222.4
10.5,-1113.7,301.5
11,-990.5,301.5
11.5,-990.5,391.3
12,-868.4,391.3
12.5,-868.4,476.9
13,-750.7,476.9
13.5,-750.7,560.3
14,-638.4,560.3
14.5,-532.3,646.2
15,-532.3,646.2
15.5,-419.9,709
16,-419.9,792.9
16.5,-318.2,792.9
17,-318.2,921.2
17.5,-212.4,921.2
18,-212.4,942.2
18.5,-111.7,942.2
19,-111.7,1011.3
19.5,-11.4,1011.3
20,-11.4,1090.4
20.5,80.9,1090.4
21,80.9,1163.5
21.5,180.7,1163.5
22,180.7,1258.5
22.5,277.8,1258.5
23,277.8,1306.9
23.5,365,1306.9
24,365,1374.2
24.5,455.3,1374.2
25,455.3,1445
25.5,544.5,1445
26,613.6,1513.6
26.5,613.6,1513.6
27,714.5,1572.6
27.5,714.5,1641.1
28,799.3,1641.1
28.5,799.3,1697.2
29,882.4,1697.2
29.5,882.4,1766.8
30,961.2,1766.8
30.5,961.2,1832.3
31,1090.1,1832.3
31.5,1090.1,1897.4
32,1121.6,1897.4
32.5,1121.6,1944.9
33,1195.1,1944.9
33.5,1195.1,2018.9
34,1272.3,2018.9
34.5,1272.3,2083.7
35,1347.2,2083.7
35.5,1347.2,2137.8
36,1397.3,2137.8
36.5,1493.3,2199.3
37,1493.3,2199.3
37.5,1567.4,2257.5
38,1567.4,2311.9
38.5,1638.4,2311.9
39,1638.4,2371.3
39.5,1708.7,2371.3
40,1708.7,2430.1
40.5,1778.2,2430.1
41,1778.2,2575.7
41.5,1845.1,2575.7
42,1845.1,2575.7
42.5,1917.4,2575.7
43,1917.4,2575.7
43.5,1981.5,-11392
44,1981.5,-11392
44.5,2043.4,-11844.7
45,2043.4,-11844.7
45.5,2102.8,-11984.5
46,2158.6,-11984.5
46.5,2158.6,-11984.5
47,2236.6,-11870.3
47.5,2236.6,-11870.3
48,2302.7,-11640.1
48.5,2302.7,-11640.1
49,2364.4,-11357.5
49.5,2364.4,-11082.6
50,2420.9,-11082.6
50.5,2420.9,-10782.2
51,2487.9,-10782.2
51.5,2487.9,-10506.2
52,2543.6,-10506.2
52.5,2543.6,-10305.3
53,2606.5,-10305.3
53.5,2606.5,-10038.8
54,2661.1,-10038.8
54.5,2661.1,-9915.2
55,2822.6,-9915.2
55.5,2822.6,-9774.7
56,2822.6,-9774.7
56.5,2822.6,-9398.7
57,2822.6,-9398.7
57.5,-17070.4,-8974.9
58,-17070.4,-8974.9
58.5,-16769.3,-8547.5
59,-16769.3,-8547.5
59.5,-16143.1,-8165.5
60,-16143.1,-8165.5
60.5,-15324,-7781.8
61,-15324,-7416.8
61.5,-14461.5,-7416.8
62,-14461.5,-7064
62.5,-13539.8,-7064
63,-13539.8,-6649.4
63.5,-12746.3,-6649.4
64,-12746.3,-6405.1
64.5,-12151.5,-6405.1
65,-12151.5,-6100.2
65.5,-11698.5,-6100.2
66,-11698.5,-5804.4
66.5,-11351.2,-5804.4
67,-11351.2,-5529.9
67.5,-10912.9,-5529.9
68,-10912.9,-5269.2
68.5,-10659.2,-5269.2
69,-10455.8,-5001.2
69.5,-10455.8,-5001.2
70,-10040,-4755.6
70.5,-10040,-4755.6
71,-9558.8,-4515.1
71.5,-9558.8,-4285.8
72,-9090.8,-4285.8
72.5,-9090.8,-4073
73,-8619.3,-4073
73.5,-8619.3,-3858.7
74,-8189.1,-3858.7
74.5,-8189.1,-3658.4
75,-7781.5,-3658.4
75.5,-7781.5,-3459.6
76,-7378.6,-3459.6
76.5,-7378.6,-3272.8
77,-7012.4,-3272.8
77.5,-7012.4,-3056.9
78,-6656.2,-3056.9
78.5,-6656.2,-2920.9
79,-6323.2,-2920.9
79.5,-5998,-2748.8
80,-5998,-2748.8
80.5,-5700.3,-2585.4
81,-5700.3,-2585.4
81.5,-5396.4,-2427.7
82,-5396.4,-2427.7
82.5,-5129.1,-2273
83,-5129.1,-2124.7
83.5,-4867.5,-2124.7
84,-4867.5,-1981.1
84.5,-4607.5,-1981.1
85,-4607.5,-1838.7
85.5,-4360.6,-1838.7
86,-4360.6,-1706.5
86.5,-4136.8,-1706.5
87,-4136.8,-1427
87.5,-3904.4,-1427
88,-3904.4,-1447
88.5,-3691.5,-1447
89,-3691.5,-1321.1
89.5,-3483.1,-1321.1
90,-3483.1,-1199.5
90.5,-3288.2,-1199.5
91,-3067.5,-1081.6
91.5,-3067.5,-1081.6
92,-2912.2,-966.7
92.5,-2912.2,-966.7
93,-2734.4,-847
93.5,-2734.4,-847
94,-2560.7,-748
94.5,-2560.7,-638.4
95,-2392.1,-638.4
95.5,-2392.1,-537
96,-2241.2,-537
96.5,-2241.2,-409
97,-2077.8,-409
97.5,-2077.8,-335.7
98,-1924.4,-335.7
98.5,-1924.4,-236.6
99,-1768.3,-236.6
99.5,-1768.3,-145.9
100,-1638.9,-145.9
100.5,-1638.9,-55.7
101,-1473.7,-55.7
101.5,-1366.1,37.8
102,-1366.1,37.8
102.5,-1240.8,129.3
103,-1240.8,129.3
103.5,-1111,221.3
104,-1111,221.3
104.5,-991.7,303.3
105,-991.7,384.4
105.5,-868,384.4
106,-868,482.3
106.5,-749.8,482.3
107,-749.8,555.5
107.5,-633.3,555.5
108,-633.3,628.3
108.5,-525.8,628.3
109,-525.8,716.8
109.5,-423.2,716.8
110,-423.2,789.4
110.5,-344,789.4
111,-344,918.9
111.5,-212.9,918.9
112,-109.7,942.5
112.5,-109.7,942.5
113,-11.4,1015.3
113.5,-11.4,1015.3
114,89.4,1092.2
114.5,89.4,1092.2
115,178.4,1161.9
115.5,178.4,1217.5
116,275.6,1217.5
116.5,275.6,1304.2
117,366.6,1304.2
117.5,366.6,1373.8
118,452.9,1373.8
118.5,452.9,1441.9
119,547.8,1441.9
119.5,547.8,1511.5
120,635.2,1511.5
120.5,635.2,1577.5
121,714,1577.5
121.5,788,1642.6
122,788,1642.6
122.5,881.1,1704.5
123,881.1,1704.5
123.5,961.2,1762.6
124,961.2,1762.6
124.5,1092.3,1833.5
125,1092.3,1833.5
125.5,1119.5,1892.6
126,1119.5,1947.9
126.5,1197.4,1947.9
127,1197.4,2016.1
127.5,1274.9,2016.1
128,1274.9,2083.1
128.5,1346.8,2083.1
129,1346.8,2139.9
129.5,1399.1,2139.9
130,1399.1,2139.9
130.5,1494.8,2139.9
131,1494.8,2247.6
131.5,1566.2,2247.6
132,1566.2,2313.1
132.5,1641.4,2313.1
133,1708.4,2373.4
133.5,1708.4,2373.4
134,1777.3,2424.3
134.5,1777.3,2424.3
135,1842,2627.1
135.5,1842,2627.1
136,1911.2,2627.1
136.5,1911.2,2627.1
137,1979.3,2627.1
137.5,1979.3,-11332
138,2048,-11332
138.5,2048,-11781.8
139,2112.4,-11781.8
139.5,2112.4,-11934.4
140,2156.9,-11934.4
140.5,2156.9,-11831.5
141,2237.2,-11831.5
141.5,2237.2,-11603.4
142,2300,-11603.4
142.5,2300,-11331.2
143,2363.3,-11331.2
143.5,2421.8,-11050.5
144,2421.8,-11050.5
144.5,2491,-10766.5
145,2491,-10766.5
145.5,2542.9,-10485
146,2542.9,-10485
146.5,2602.9,-10295.4
147,2602.9,-10295.4
147.5,2663.2,-10029.2
148,2663.2,-10029.2
148.5,2453.5,-9907.6
149,2453.5,-9766.7
149.5,2453.5,-9766.7
150,2453.5,-9393.4
150.5,2453.5,-9393.4
151,-16822.8,-8967.7
151.5,-16822.8,-8967.7
152,-16571.3,-8543.2
152.5,-16571.3,-8543.2
153,-15997.2,-8156
153.5,-15997.2,-8156
154,-15187.8,-7779.3
154.5,-15187.8,-7779.3
155,-14357.7,-7414.2
155.5,-14357.7,-7414.2
156,-13464.2,-7057.8
156.5,-13464.2,-7057.8
157,-12705.3,-6662.6
157.5,-12705.3,-6662.6
158,-12117,-6401.9
158.5,-12117,-6401.9
159,-11664.4,-6102.4
159.5,-11664.4,-5806.3
160,-11318.3,-5806.3
160.5,-11318.3,-5529.2
161,-10883,-5529.2
161.5,-10883,-5268.7
162,-10637.9,-5268.7
162.5,-10637.9,-5001.9
163,-10435.4,-5001.9
163.5,-10435.4,-4749.2
164,-10025.2,-4749.2
164.5,-10025.2,-4514.6
165,-9542.8,-4514.6
165.5,-9070.3,-4285.1
166,-9070.3,-4285.1
166.5,-8614,-4066.7
167,-8614,-4066.7
167.5,-8182.2,-3860.4
168,-8182.2,-3860.4
168.5,-7770.5,-3657.8
169,-7770.5,-3657.8
169.5,-7382.3,-3462.8
170,-7382.3,-3275.4
170.5,-6985.6,-3275.4
171,-6985.6,-3058.6
171.5,-6651.2,-3058.6
172,-6651.2,-2919.8
172.5,-6319.1,-2919.8
173,-6319.1,-2749.2
173.5,-5998.8,-2749.2
174,-5998.8,-2591.6
174.5,-5696.8,-2591.6
175,-5696.8,-2426.2
175.5,-5406.8,-2426.2
176,-5126.4,-2276.7
176.5,-5126.4,-2276.7
177,-4851,-2125.8
177.5,-4851,-2125.8
178,-4601.6,-1983.7
178.5,-4601.6,-1983.7
179,-4360.6,-1846.3
179.5,-4360.6,-1846.3
180,-4136,-1706.5
180.5,-4136,-1443.2
181,-3901.4,-1443.2
181.5,-3901.4,-1443.3
182,-3690.1,-1443.3
182.5,-3690.1,-1321.9
183,-3484.1,-1321.9
183.5,-3484.1,-1200.8
184,-3286.9,-1200.8
184.5,-3286.9,-1078.7
185,-3066,-1078.7
185.5,-3066,-965.5
186,-2911.1,-965.5
186.5,-2729.9,-846.8
187,-2729.9,-846.8
187.5,-2558.4,-744
188,-2558.4,-744
188.5,-2396.6,-642.8
189,-2396.6,-642.8
189.5,-2235.2,-533.8
190,-2235.2,-533.8
190.5,-2073,-452.6
191,-2073,-334
191.5,-1925,-334
192,-1925,-239.4
192.5,-1786.3,-239.4
193,-1786.3,-142.4
193.5,-1639.7,-142.4
194,-1639.7,-59.9
194.5,-1486.8,-59.9
195,-1486.8,42.2
195.5,-1367,42.2
196,-1367,132.8
196.5,-1235.9,132.8
197,-1235.9,220.8
197.5,-1110.7,220.8
198,-988.4,304.2
198.5,-988.4,304.2
199,-867.9,391
199.5,-867.9,391
200,-751.7,478.2
200.5,-751.7,478.2
201,-640.7,552.9
201.5,-640.7,627.3
202,-532.8,627.3
202.5,-532.8,710.2
203,-421.4,710.2
203.5,-421.4,792.2
204,-343.2,792.2
204.5,-343.2,876.3
205,-214,876.3
205.5,-214,942.1
206,-111.3,942.1
206.5,-111.3,1008.9
207,-11.1,1008.9
207.5,86.8,1090.4
208,86.8,1090.4
208.5,180.6,1161.2
209,180.6,1161.2
209.5,270.1,1231.8
210,270.1,1231.8
210.5,362.6,1304.7
211,362.6,1304.7
211.5,454.4,1374.9
212,454.4,1443
212.5,536.5,1443
213,536.5,1505.2
213.5,635.2,1505.2
214,635.2,1576.6
214.5,712.8,1576.6
215,712.8,1640
215.5,801,1640
216,801,1707.4
216.5,880.4,1707.4
217,880.4,1776.1
217.5,960.8,1776.1
218,1078.5,1834.6
218.5,1078.5,1834.6
219,1120.4,1890.2
219.5,1120.4,1890.2
220,1201.3,1948
220.5,1201.3,1948
221,1272.7,2019.5
221.5,1272.7,2019.5
222,1349.8,2082
222.5,1349.8,2082
223,1438,2136.6
223.5,1438,2193.1
224,1492.2,2193.1
224.5,1492.2,2246.6
225,1566.7,2246.6
225.5,1566.7,2309.7
226,1636,2309.7
226.5,1636,2370
227,1707.2,2370
227.5,1778,2429.2
228,1778,2429.2
228.5,1844.4,2124.3
229,1844.4,2124.3
229.5,1923.6,2124.3
230,1923.6,2124.3
230.5,1983,2124.3
231,1983,-11300.7
231.5,2045.1,-11300.7
232,2045.1,-11757.8
232.5,2103.4,-11757.8
233,2103.4,-11910.4
233.5,2158,-11910.4
234,2158,-11801.4
234.5,2237.2,-11801.4
235,2237.2,-11569.1
235.5,2301.6,-11569.1
236,2301.6,-11319.2
236.5,2366.6,-11319.2
237,2366.6,-11051.9
237.5,2422.5,-11051.9
238,2476.2,-10764.2
238.5,2476.2,-10764.2
239,2543,-10489.3
239.5,2543,-10489.3
240,2605.2,-10296.2
240.5,2605.2,-10296.2
241,2659.2,-10019.5
241.5,2659.2,-10019.5
242,2820.7,-9901
242.5,2820.7,-9901
243,2820.7,-9759.3
243.5,2820.7,-9759.3
244,2820.7,-9386.1
244.5,-16737.1,-9386.1
245,-16737.1,-8965.1
245.5,-16494.5,-8535.6
246,-16494.5,-8535.6
246.5,-15922.6,-8149.8
247,-15922.6,-8149.8
247.5,-15922.6,-7774.8
248,-15133.7,-7774.8
248.5,-15133.7,-7406.5
249,-14307,-7406.5
249.5,-14307,-7055.6
250,-13444.4,-7055.6
250.5,-12677.8,-6693.2
251,-12677.8,-6693.2
251.5,-12099.6,-6400
252,-12099.6,-6400
252.5,-11645.7,-6097.5
253,-11645.7,-6097.5
253.5,-11314.4,-5805.9
254,-11314.4,-5805.9
254.5,-10871.5,-5522.9
255,-10871.5,-5522.9
255.5,-10637.3,-5254.4
256,-10637.3,-4998.7
256.5,-10428.9,-4998.7
257,-10428.9,-4762.4
257.5,-10023.9,-4762.4
258,-10023.9,-4515
258.5,-9537,-4515
259,-9537,-4283.8
259.5,-9059.1,-4283.8
260,-9059.1,-4070.5
260.5,-8603.1,-4070.5
261,-8174.7,-3853.1
261.5,-8174.7,-3853.1
262,-7768.1,-3656.4
262.5,-7768.1,-3656.4
263,-7377.9,-3459.5
263.5,-7377.9,-3459.5
264,-6987.8,-3272.1
264.5,-6987.8,-3272.1
265,-6650.3,-3054
265.5,-6650.3,-3054
266,-6319.1,-2914.8
266.5,-6319.1,-2914.8
267,-5998,-2747
267.5,-5998,-2747
268,-5697.6,-2581.9
268.5,-5697.6,-2426.5
269,-5402.9,-2426.5
269.5,-5402.9,-2277.3
270,-5126.1,-2277.3
270.5,-5126.1,-2123.8
271,-4861.5,-2123.8
271.5,-4861.5,-1979.4
272,-4604.5,-1979.4
272.5,-4361.8,-1843.2
273,-4361.8,-1843.2
273.5,-4125,-1705
274,-4125,-1705
274.5,-3907.6,-1457.4
275,-3907.6,-1457.4
275.5,-3694,-1446.6
276,-3694,-1446.6
276.5,-3487.2,-1322.8
277,-3487.2,-1322.8
277.5,-3288.1,-1203.3
278,-3288.1,-1203.3
278.5,-3095.3,-1079.6
279,-3095.3,-1079.6
279.5,-2911.6,-964.5
280,-2911.6,-849.8
280.5,-2733.9,-849.8
281,-2733.9,-747.7
281.5,-2565.5,-747.7
282,-2565.5,-641.6
282.5,-2392.1,-641.6
283,-2392.1,-534.2
283.5,-2236.1,-534.2
284,-2078.2,-426.3
284.5,-2078.2,-426.3
285,-1928,-334.4
285.5,-1928,-334.4
286,-1771.3,-235.4
286.5,-1771.3,-235.4
287,-1636.7,-144.3
287.5,-1636.7,-144.3
288,-1501.3,-39.3
288.5,-1501.3,-39.3
289,-1365.9,46.3
289.5,-1365.9,46.3
290,-1234.2,132.2
290.5,-1234.2,132.2
291,-1112.9,221.2
291.5,-1112.9,306.9
292,-990.5,306.9
292.5,-990.5,393
293,-866.6,393
293.5,-866.6,470.8
294,-752,470.8
294.5,-752,556.9
295,-639.8,556.9
295.5,-639.8,627.6
296,-527.7,627.6
296.5,-419.6,712.5
297,-419.6,712.5
297.5,-342,790.9
298,-342,790.9
298.5,-214.8,889.1
299,-214.8,889.1
299.5,-109.3,940.2
300,-109.3,940.2
300.5,-10.3,1018.1
301,-10.3,1018.1
301.5,90.3,1091.4
302,90.3,1091.4
302.5,177.4,1163.5
303,177.4,1224.5
303.5,273.8,1224.5
304,273.8,1303.6
304.5,364.4,1303.6
305,364.4,1371.9
305.5,456.9,1371.9
306,456.9,1441.1
306.5,541.9,1441.1
307,617.4,1511.1
307.5,617.4,1511.1
308,713.4,1573.7
308.5,713.4,1573.7
309,801.6,1640.7
309.5,801.6,1640.7
310,882.4,1693.8
310.5,882.4,1693.8
311,960.2,1775.4
311.5,960.2,1775.4
312,1027,1833.4
312.5,1027,1833.4
313,1120.1,1897.3
313.5,1120.1,1955.5
314,1186.2,1955.5
314.5,1186.2,2016.7
315,1270.9,2016.7
315.5,1270.9,2085.9
316,1347.4,2085.9
316.5,1433.5,2139.5
317,1433.5,2139.5
317.5,1497,2194.8
318,1497,2194.8
318.5,1566.7,2244.8
319,1566.7,2244.8
319.5,1640.6,2310.7
320,1640.6,2310.7
320.5,1708.2,2371.3
321,1708.2,2371.3
321.5,1775.8,2428.1
322,1775.8,2428.1
322.5,1845.2,2200.4
323,1845.2,2200.4
323.5,1904.4,2200.4
324,1904.4,2200.4
324.5,1986.3,2200.4
325,1986.3,-11255.9
325.5,2045.7,-11255.9
326,2045.7,-11724.7
326.5,2103.8,-11724.7
327,2103.8,-11865.1
327.5,2162.6,-11865.1
328,2235.5,-11776.6
328.5,2235.5,-11776.6
329,2299.9,-11540.5
329.5,2299.9,-11540.5
330,2363.4,-11301.2
330.5,2363.4,-11301.2
331,2421.8,-11029.6
331.5,2421.8,-11029.6
332,2474.4,-10745.2
332.5,2474.4,-10745.2
333,2542.8,-10476.3
333.5,2542.8,-10476.3
334,2602.3,-10276.4
334.5,2602.3,-10276.4
335,2659,-10019.3
335.5,2659,-10019.3
336,2850.7,-9885.5
336.5,2850.7,-9885.5
337,2850.7,-9752.2
337.5,2850.7,-9381.4
338,2850.7,-9381.4
338.5,-16535.9,-8959.4
339,-16535.9,-8959.4
339.5,-16336.8,-8544
340,-16336.8,-8544
340.5,-15791.1,-8151.8
341,-15791.1,-8151.8
341.5,-15082,-7764.8
342,-15082,-7764.8
342.5,-14237.9,-7403.9
343,-14237.9,-7403.9
343.5,-13375.6,-7059
344,-13375.6,-7059
344.5,-12644.7,-6705.5
345,-12644.7,-6705.5
345.5,-12038.9,-6397.2
346,-12038.9,-6397.2
346.5,-11604.7,-6093.2
347,-11604.7,-6093.2
347.5,-11293.3,-5799.3
348,-11293.3,-5799.3
348.5,-10849.9,-5519.4
349,-10849.9,-5262.9
349.5,-10614.7,-5262.9
350,-10614.7,-4995.6
350.5,-10406.8,-4995.6
351,-10002,-4748.2
351.5,-10002,-4748.2
352,-9521.4,-4513.2
352.5,-9521.4,-4513.2
353,-9058.4,-4281.8
353.5,-9058.4,-4281.8
354,-8592,-4062
354.5,-8592,-4062
355,-8164.9,-3856.1
355.5,-8164.9,-3856.1
356,-7759.1,-3656.7
356.5,-7759.1,-3656.7
357,-7366.6,-3456.8
357.5,-7366.6,-3456.8
358,-6979.3,-3267.7
358.5,-6979.3,-3267.7
359,-6641.1,-3068.6
359.5,-6641.1,-3068.6
360,-6315.7,-2916.5
360.5,-6315.7,-2916.5
361,-5985.8,-2745.3
361.5,-5985.8,-2585.4
362,-5689.9,-2585.4
362.5,-5689.9,-2425.2
363,-5385.8,-2425.2
363.5,-5122.6,-2274.4
364,-5122.6,-2274.4
364.5,-4854.5,-2123.5
365,-4854.5,-2123.5
365.5,-4603,-1981.6
366,-4603,-1981.6
366.5,-4358.1,-1836.1
367,-4358.1,-1836.1
367.5,-4126.5,-1705.5
368,-4126.5,-1705.5
368.5,-3906,-1549.6
369,-3906,-1549.6
369.5,-3687.2,-1447.9
370,-3687.2,-1447.9
370.5,-3480.5,-1318.1
371,-3480.5,-1318.1
371.5,-3286.5,-1200.8
372,-3286.5,-1079.1
372.5,-3088.6,-1079.1
373,-3088.6,-962.8
373.5,-2906.7,-962.8
374,-2732.1,-858.6
374.5,-2732.1,-858.6
375,-2560.4,-745.9
375.5,-2560.4,-745.9
376,-2399.8,-639.5
376.5,-2399.8,-639.5
377,-2230.3,-535.2
377.5,-2230.3,-535.2
378,-2080.3,-438.7
378.5,-2080.3,-438.7
379,-1926.9,-333.3
379.5,-1926.9,-333.3
380,-1783.1,-236.2
380.5,-1783.1,-236.2
381,-1638.4,-236.2
381.5,-1638.4,-236.2
382,-1496.9,-53.3
382.5,-1496.9,44.3
383,-1369.1,44.3
383.5,-1369.1,133.9
384,-1236.1,133.9
384.5,-1112.9,220.5
385,-1112.9,220.5
385.5,-988,306.5
386,-988,306.5
386.5,-870.4,389.5
387,-870.4,389.5
387.5,-747.2,470.2
388,-747.2,470.2
388.5,-638.1,559.3
389,-638.1,559.3
389.5,-531.2,559.3
390,-531.2,559.3
390.5,-419.9,711.3
391,-419.9,711.3
391.5,-317.6,791.4
392,-317.6,791.4
392.5,-214.4,922.7
393,-214.4,944.6
393.5,-114.1,944.6
394,-114.1,1024
394.5,-13.8,1024
395,-13.8,1091.4
395.5,72,1091.4
396,178.9,1165.5
396.5,178.9,1165.5
397,270.4,1229.9
397.5,270.4,1229.9
398,362.6,1302.7
398.5,362.6,1302.7
399,451.3,1375.1
399.5,451.3,1375.1
400,536.3,1441
400.5,536.3,1441
401,619.4,1508.6
401.5,619.4,1508.6
402,714,1575.3
402.5,714,1575.3
403,804.8,1642.3
403.5,804.8,1700.2
404,883.1,1700.2
404.5,960.3,1778.1
405,960.3,1778.1
405.5,1026.5,1835.7
406,1026.5,1835.7
406.5,1121.2,1835.7
407,1121.2,1835.7
407.5,1190.6,1957.2
408,1190.6,1957.2
408.5,1269,2018.4
409,1269,2018.4
409.5,1343.3,2070
410,1343.3,2070
410.5,1429.9,2137.7
411,1429.9,2137.7
411.5,1493.1,2193.1
412,1493.1,2193.1
412.5,1566.4,2260.3
413,1566.4,2260.3
413.5,1635.4,2311.2
414,1635.4,2367.1
414.5,1706,2367.1
415,1776.9,2429.6
415.5,1776.9,2429.6
416,1844.4,2162.1
416.5,1844.4,2162.1
417,1915.1,2162.1
417.5,1915.1,2162.1
418,1984.2,2162.1
418.5,1984.2,-11249.3
419,2042.2,-11249.3
419.5,2042.2,-11698.4
420,2111.3,-11698.4
420.5,2111.3,-11698.4
421,2158,-11870.1
421.5,2158,-11870.1
422,2234.3,-11773.1
422.5,2234.3,-11773.1
423,2301,-11542.4
423.5,2301,-11542.4
424,2360.4,-11283.8
424.5,2360.4,-11283.8
425,2423.7,-11027.5
425.5,2423.7,-11027.5
426,2489.4,-10741.3
426.5,2540.1,-10741.3
427,2540.1,-10461.4
427.5,2603.7,-10461.4
428,2603.7,-10280.4
428.5,2661.8,-10007.9
429,2661.8,-10007.9
429.5,2654.3,-9889.6
430,2654.3,-9889.6
430.5,2654.3,-9752.2
431,2654.3,-9752.2
431.5,2654.3,-9378.8
432,-16449.4,-9378.8
432.5,-16449.4,-8957.3
433,-16283.7,-8957.3
433.5,-16283.7,-8514.5
434,-15743.2,-8514.5
434.5,-15743.2,-8147.1
435,-15743.2,-8147.1
435.5,-15000.1,-7769.8
436,-15000.1,-7769.8
436.5,-14190.1,-7403.4
437,-14190.1,-7403.4
437.5,-13368.6,-7048.9
438,-12623,-6657.5
438.5,-12623,-6657.5
439,-12033.1,-6397.9
439.5,-12033.1,-6397.9
440,-11609.2,-6094.8
440.5,-11609.2,-6094.8
441,-11287.2,-5805.2
441.5,-11287.2,-5805.2
442,-10842.5,-5521.4
442.5,-10842.5,-5521.4
443,-10617,-5251.5
443.5,-10617,-5251.5
444,-10409.8,-4998.5
444.5,-10409.8,-4998.5
445,-9999.6,-4752.8
445.5,-9999.6,-4752.8
446,-9517.5,-4510.2
446.5,-9517.5,-4510.2
447,-9057.4,-4282.5
447.5,-9057.4,-4061.4
448,-8598.5,-4061.4
448.5,-8162.7,-3855.7
449,-8162.7,-3855.7
449.5,-7755,-3654.8
450,-7755,-3654.8
450.5,-7365.8,-3459.2
451,-7365.8,-3459.2
451.5,-6998.2,-3271.6
452,-6998.2,-3271.6
452.5,-6642,-3057.6
453,-6642,-3057.6
453.5,-6308.6,-2920.4
454,-6308.6,-2920.4
454.5,-5993.6,-2747.1
455,-5993.6,-2747.1
455.5,-5689.5,-2587.1
456,-5689.5,-2587.1
456.5,-5408.3,-2426.6
457,-5408.3,-2426.6
457.5,-5121.3,-2272.5
458,-5121.3,-2272.5
458.5,-4862.4,-2124.2
459,-4600.3,-2124.2
459.5,-4600.3,-1981.3
460,-4357.7,-1847.7
460.5,-4357.7,-1847.7
461,-4128.8,-1705.8
461.5,-4128.8,-1705.8
462,-3906.4,-1476.5
462.5,-3906.4,-1476.5
463,-3686.1,-1447
463.5,-3686.1,-1447
464,-3481.1,-1318.6
464.5,-3481.1,-1318.6
465,-3286.9,-1202
465.5,-3286.9,-1202
466,-3097.3,-1081.1
466.5,-3097.3,-1081.1
467,-2910.5,-968.6
467.5,-2910.5,-968.6
468,-2734.8,-848.6
468.5,-2734.8,-848.6
469,-2558.7,-747.1
469.5,-2558.7,-747.1
470,-2388.5,-641.1
470.5,-2232.1,-536.5
471,-2232.1,-536.5
471.5,-2075.3,-451.3
472,-2075.3,-451.3
472.5,-1927.5,-332.8
473,-1927.5,-332.8
473.5,-1786.4,-236.2
474,-1786.4,-236.2
474.5,-1640.9,-142
475,-1640.9,-142
475.5,-1513,-42.4
476,-1513,-42.4
476.5,-1369.8,48.1
477,-1369.8,48.1
477.5,-1238.4,133.5
478,-1238.4,133.5
478.5,-1113.7,220.7
479,-1113.7,220.7
479.5,-986.2,304.5
480,-986.2,304.5
480.5,-877.8,395.2
481,-763.3,481.9
481.5,-763.3,481.9
482,-637.5,553.4
482.5,-637.5,553.4
483,-534,631.4
483.5,-534,631.4
484,-421.6,719.6
484.5,-421.6,719.6
485,-303.8,790.4
485.5,-303.8,790.4
486,-215.5,873.4
