Time (s),Chan.4 - Raw (mV),Chan.8 - Raw (mV)
0,-1459.8,-1812.1
0.5,-1394.2,-1684.3
1,-1394.2,-1684.3
1.5,-1267.6,-1561.8
2,-1267.6,-1561.8
2.5,-1141.3,-1439.2
3,-1141.3,-1439.2
3.5,-1023.4,-1324.5
4,-1023.4,-1324.5
4.5,-914.5,-1197.8
5,-914.5,-1197.8
5.5,-794.7,-1090.6
6,-794.7,-1090.6
6.5,-684,-741.8
7,-684,-741.8
7.5,-575.8,-870.1
8,-476,-870.1
8.5,-476,-757.9
9,-332.7,-757.9
9.5,-332.7,-658.7
10,-272.4,-658.7
10.5,-272.4,-553.8
11,-173.9,-448.5
11.5,-173.9,-448.5
12,-77,-365.8
12.5,-77,-365.8
13,15.4,-255.7
13.5,15.4,-255.7
14,110.7,-153.8
14.5,110.7,-153.8
15,190.9,-68.7
15.5,190.9,-68.7
16,282.3,2.9
16.5,282.3,2.9
17,370.3,115
17.5,370.3,115
18,459.2,206.3
18.5,526.4,206.3
19,526.4,292.7
19.5,617,292.7
20,617,375.5
20.5,699.1,469.6
21,699.1,469.6
21.5,770.9,552.2
22,770.9,552.2
22.5,852.9,635.8
23,852.9,635.8
23.5,944.9,719.6
24,944.9,719.6
24.5,1005,798.5
25,1005,798.5
25.5,1081.2,880.4
26,1081.2,880.4
26.5,1148.8,958.5
27,1148.8,958.5
27.5,1219.5,1033.1
28,1219.5,1033.1
28.5,1307,1116.4
29,1307,1116.4
29.5,1360.8,1188.9
30,1429.9,1188.9
30.5,1429.9,1306.5
31,1496.1,1306.5
31.5,1496.1,1341
32,1563.4,1415.7
32.5,1563.4,1415.7
33,1631.5,1486.6
33.5,1631.5,1486.6
34,1693,1556
34.5,1693,1556
35,1743.8,1604.8
35.5,1743.8,1604.8
36,1817.6,1700.6
36.5,1817.6,1700.6
37,1884.2,1770.9
37.5,1884.2,1770.9
38,1945,1840.9
38.5,1945,1840.9
39,2002.9,1909.7
39.5,2067.4,1909.7
40,2067.4,1978.9
40.5,2067.4,1978.9
41,2067.4,2043.8
41.5,2184.3,2043.8
42,2184.3,2117.9
42.5,2239.4,2117.9
43,2239.4,2176.4
43.5,2295.4,2243.3
44,2295.4,2243.3
44.5,2355.8,2310
45,2355.8,2310
45.5,2413.4,2363.1
46,2413.4,2363.1
46.5,2467,2435
47,2467,2435
47.5,2234.3,2490.8
48,2234.3,2490.8
48.5,2234.3,2559
49,2234.3,2559
49.5,2234.3,2625
50,-30486.3,2625
50.5,-30486.3,2686.4
51,-26135,2686.4
51.5,-26135,2741.4
52,-22798.2,2741.4
52.5,-22798.2,2801.9
53,-20096.1,2857.5
53.5,-20096.1,2857.5
54,-17973.4,2657.8
54.5,-17973.4,2657.8
55,-16244.8,2657.8
55.5,-16244.8,2657.8
56,-14743.4,2657.8
56.5,-14743.4,-3366.6
57,-13631.9,-3366.6
57.5,-13631.9,-3366.6
58,-12772.9,-3838.8
58.5,-12772.9,-3838.8
59,-12270.9,-4260.6
59.5,-12270.9,-4260.6
60,-11674.5,-4596
60.5,-11674.5,-4596
61,-11413.5,-4906.3
61.5,-11413.5,-4906.3
62,-10998.7,-5247.6
62.5,-10998.7,-5247.6
63,-10445.3,-5477.7
63.5,-10445.3,-5477.7
64,-9909.5,-5544.3
64.5,-9389,-5544.3
65,-9389,-5692
65.5,-8876.8,-5692
66,-8876.8,-5959.7
66.5,-8400.5,-6008.8
67,-8400.5,-6008.8
67.5,-7950.6,-5878.4
68,-7950.6,-5878.4
68.5,-7532.4,-5878.4
69,-7532.4,-5878.4
69.5,-7131.3,-5603.3
70,-7131.3,-5603.3
70.5,-6751.6,-5462.3
71,-6751.6,-5462.3
71.5,-6400,-5263.7
72,-6400,-5263.7
72.5,-6064.5,-5144.8
73,-6064.5,-5144.8
73.5,-5741,-4986.7
74,-5741,-4986.7
74.5,-5441.7,-4823.6
75,-5441.7,-4823.6
75.5,-5151.6,-4651.2
76,-4876.1,-4651.2
76.5,-4876.1,-4496.1
77,-4616.6,-4496.1
77.5,-4616.6,-4319.9
78,-4365.5,-4319.9
78.5,-4365.5,-4163.5
79,-4135.4,-4163.5
79.5,-4135.4,-4163.5
80,-3906,-3831.4
80.5,-3906,-3831.4
81,-3693.9,-3668.7
81.5,-3693.9,-3668.7
82,-3483.9,-3516.8
82.5,-3483.9,-3516.8
83,-3284.3,-3358.3
83.5,-3284.3,-3358.3
84,-3112.2,-3204.2
84.5,-3112.2,-3204.2
85,-2906.6,-3049.1
85.5,-2906.6,-3049.1
86,-2730.6,-2905.5
86.5,-2559.7,-2905.5
87,-2559.7,-2754.8
87.5,-2393.5,-2754.8
88,-2393.5,-2609.9
88.5,-2236.5,-2609.9
89,-2236.5,-2475.8
89.5,-2081.7,-2475.8
90,-2081.7,-2338.4
90.5,-1939.1,-2198.5
91,-1939.1,-2198.5
91.5,-1781.9,-2069.8
92,-1781.9,-2069.8
92.5,-1655.3,-1936.7
93,-1655.3,-1936.7
93.5,-1394.7,-1809.9
94,-1394.7,-1809.9
94.5,-1388.7,-1684.2
95,-1388.7,-1684.2
95.5,-1266.6,-1556.3
96,-1266.6,-1556.3
96.5,-1141,-1439.4
97,-1141,-1439.4
97.5,-1020.7,-1318.8
98,-906.9,-1318.8
98.5,-906.9,-1216.9
99,-788.1,-1216.9
99.5,-788.1,-1090.1
100,-685.5,-1090.1
100.5,-685.5,-881.1
101,-573,-881.1
101.5,-573,-870.4
102,-472.2,-768.6
102.5,-472.2,-768.6
103,-391.6,-659.9
103.5,-391.6,-659.9
104,-274.1,-557.1
104.5,-274.1,-557.1
105,-174.7,-462.9
105.5,-174.7,-462.9
106,-73.1,-342.7
106.5,-73.1,-342.7
107,7,-254.9
107.5,7,-254.9
108,102,-162.8
108.5,197.1,-162.8
109,197.1,-66.3
109.5,281,-66.3
110,281,27.4
110.5,370.1,27.4
111,370.1,114.6
111.5,451.2,114.6
112,451.2,208.3
112.5,538.8,298.9
113,538.8,298.9
113.5,618.3,383.5
114,618.3,383.5
114.5,702.7,468.2
115,702.7,468.2
115.5,776.5,555.5
116,776.5,555.5
116.5,850.4,636.9
117,850.4,636.9
117.5,950,720.1
118,950,720.1
118.5,1002.1,792
119,1089.2,792
119.5,1089.2,875.9
120,1148.7,875.9
120.5,1148.7,960.5
121,1221.5,960.5
121.5,1221.5,1037.5
122,1316.5,1037.5
122.5,1316.5,1115.6
123,1360.8,1115.6
123.5,1360.8,1188.5
124,1430.5,1266.2
124.5,1430.5,1266.2
125,1494.6,1341.9
125.5,1494.6,1341.9
126,1562.2,1403.7
126.5,1562.2,1403.7
127,1630,1485.9
127.5,1630,1485.9
128,1693.5,1558.2
128.5,1758.4,1558.2
129,1758.4,1651.7
129.5,1819.5,1651.7
130,1819.5,1700.5
130.5,1885.9,1700.5
131,1885.9,1770.7
131.5,1946.9,1770.7
132,1946.9,1841.8
132.5,2000.5,1841.8
133,2000.5,1908.8
133.5,2066.8,1908.8
