Acetic acid,Nonanal,Decanoic acid,Heptanal,Hexanal,Decanal,2-Octanone,True_Stress,True_Period
1.378841e-07,0.33959898,1.5054204e-07,0.33331347,2.9772245e-06,2.8618215e-06,0.32708144,2,4
1.6135681e-07,0.33651736,1.708429e-07,0.33580533,2.1125638e-07,1.9203463e-07,0.32767662,2,4
1.6135681e-07,0.33651736,1.708429e-07,0.33580533,2.1125638e-07,1.9203463e-07,0.32767662,2,4
2.1056196e-07,0.33738017,2.2158298e-07,0.3355935,6.462029e-07,6.011007e-07,0.32702464,2,4
4.1544274e-10,0.34259322,5.330288e-10,0.33632156,6.0726956e-07,7.7827264e-07,0.3210838,2,1
3.972776e-09,0.3419798,4.6183883e-09,0.33523944,1.3532568e-06,1.5991973e-06,0.3227778,2,1
2.2829983e-08,0.34243408,3.1590265e-08,0.3325515,2.2978553e-05,2.6520318e-05,0.32496482,2,1
3.972776e-09,0.3419798,4.6183883e-09,0.33523944,1.3532568e-06,1.5991973e-06,0.3227778,2,1
2.2829978e-08,0.34243405,3.159026e-08,0.33255148,2.2978573e-05,2.6520313e-05,0.32496482,2,1
4.3416884e-10,0.34235907,6.407073e-10,0.33512747,6.5005764e-07,8.073673e-07,0.32251197,2,1
3.972775e-09,0.3419798,4.6183875e-09,0.3352394,1.3532566e-06,1.5991953e-06,0.32277784,2,1
4.3416884e-10,0.34235907,6.407073e-10,0.33512747,6.5005764e-07,8.073673e-07,0.32251197,2,1
0.13230973,0.23233129,0.11637012,0.18763894,0.006484097,0.24265605,0.08220973,2,1
2.0101114e-08,0.3362605,2.1598321e-08,0.34204456,7.282217e-08,7.75689e-08,0.32169473,2,1
4.2092427e-10,0.3402962,4.9498394e-10,0.3372134,6.557796e-08,7.5881445e-08,0.32249027,2,1
0.13230973,0.23233129,0.11637012,0.18763894,0.006484097,0.24265605,0.08220973,2,1
1.0744724e-10,0.35180154,6.850825e-10,0.3300294,2.6184491e-06,3.431003e-06,0.318163,2,1
2.1780214e-10,0.34212214,3.9363462e-10,0.33353838,3.917623e-07,4.3961373e-07,0.32433861,2,2
8.915153e-09,0.33645028,1.1258234e-08,0.33657575,2.7079815e-07,9.1349655e-08,0.32697365,2,2
5.480507e-09,0.3401037,7.3369235e-09,0.3336646,7.985987e-07,7.81663e-07,0.32623017,2,2
8.915153e-09,0.33645028,1.1258234e-08,0.33657575,2.7079815e-07,9.1349655e-08,0.32697365,2,2
1.7307983e-10,0.3419614,2.1803966e-10,0.33450747,4.293037e-08,4.422354e-08,0.32353106,2,2
7.812249e-09,0.33827126,9.85274e-09,0.3336752,3.8502847e-07,2.729783e-07,0.32805288,2,2
6.3909837e-09,0.3397468,1.0673562e-08,0.33460116,4.621643e-06,5.121524e-06,0.32564226,2,2
3.220762e-10,0.3418867,4.4062665e-10,0.3344838,6.550792e-08,6.6146846e-08,0.32362938,2,2
6.3909837e-09,0.3397468,1.0673562e-08,0.33460116,4.621643e-06,5.121524e-06,0.32564226,2,2
7.812249e-09,0.33827126,9.85274e-09,0.3336752,3.8502847e-07,2.729783e-07,0.32805288,2,2
3.220762e-10,0.3418867,4.4062665e-10,0.3344838,6.550792e-08,6.6146846e-08,0.32362938,2,2
3.220762e-10,0.3418867,4.4062665e-10,0.3344838,6.550792e-08,6.6146846e-08,0.32362938,2,2
1.7307983e-10,0.3419614,2.1803966e-10,0.33450747,4.293037e-08,4.422354e-08,0.32353106,2,2
1.3007846e-10,0.34445962,1.6046348e-10,0.33369577,4.6593826e-08,4.8141022e-08,0.32184452,2,3
4.203844e-10,0.34195626,4.882545e-10,0.3352118,3.173971e-08,3.107154e-08,0.32283187,2,3
1.3007846e-10,0.34445962,1.6046348e-10,0.33369577,4.6593826e-08,4.8141022e-08,0.32184452,2,3
4.203844e-10,0.34195626,4.882545e-10,0.3352118,3.173971e-08,3.107154e-08,0.32283187,2,3
5.9489463e-10,0.3431076,7.277693e-10,0.33319467,1.1442817e-07,1.1472645e-07,0.32369745,2,3
2.6941002e-08,0.34040275,3.247233e-08,0.33434802,1.4971245e-06,1.5082679e-06,0.32524616,2,3
3.617922e-08,0.3415016,4.3103732e-08,0.3326887,1.5420782e-06,1.5284102e-06,0.32580656,2,3
1.3007846e-10,0.34445962,1.6046348e-10,0.33369577,4.6593826e-08,4.8141022e-08,0.32184452,2,3
2.4560254e-09,0.34270832,3.0120475e-09,0.33257684,3.1190183e-07,3.066005e-07,0.32471424,2,3
3.2700254e-09,0.3409129,3.9082417e-09,0.33387035,7.239107e-08,6.743527e-08,0.3252166,2,3
2.4560254e-09,0.34270832,3.0120475e-09,0.33257684,3.1190183e-07,3.066005e-07,0.32471424,2,3
2.4560254e-09,0.34270832,3.0120475e-09,0.33257684,3.1190183e-07,3.066005e-07,0.32471424,2,3
0.378499,0.24999994,0.37150097,4.8064045e-08,1.3068082e-12,2.1918958e-10,2.819482e-08,1,0
0.37835065,0.24999997,0.37164932,2.026076e-08,2.3836618e-13,1.2604398e-10,7.91829e-09,1,0
