window_id,t_start_s,t_end_s,t_center_s,pred_period,p_stress,p_normal,p_stress_bin,p_stress_bin_smooth
79,1950,2949.5,2449.75,0,0.097723462,0.285215706,0.255193174,0.465683926
80,1975,2974.5,2474.75,0,0.03236511,0.557577074,0.054861497,0.38351944
81,2000,2999.5,2499.75,0,0.134178832,0.256146431,0.343761593,0.375567871
82,2025,3024.5,2524.75,12,0.398901492,0.056743793,0.875464976,0.475547292
83,2050,3049.5,2549.75,0,0.058494337,0.492126495,0.106233418,0.401684517
84,2075,3074.5,2574.75,0,0.051514976,0.517658472,0.090508394,0.339449292
85,2100,3099.5,2599.75,12,0.338850021,0.092228219,0.786052227,0.428769879
86,2125,3124.5,2624.75,12,0.372916788,0.057875402,0.865653574,0.516146618
87,2150,3149.5,2649.75,0,0.055420093,0.503520131,0.099152096,0.432747714
88,2175,3174.5,2674.75,0,0.048741382,0.507397234,0.087642506,0.363726672
89,2200,3199.5,2699.75,12,0.34221527,0.064616673,0.841171086,0.459215555
90,2225,3224.5,2724.75,12,0.366091937,0.055857919,0.867619514,0.540896347
91,2250,3249.5,2749.75,0,0.050536998,0.517947912,0.088897698,0.450496617
92,2275,3274.5,2774.75,0,0.112667412,0.303715259,0.270586222,0.414514538
93,2300,3299.5,2799.75,12,0.386018813,0.052648704,0.879980385,0.507607708
94,2325,3324.5,2824.75,9,0.181775421,0.17073828,0.515654922,0.50921715
95,2350,3349.5,2849.75,0,0.048082132,0.528083742,0.083451897,0.4240641
96,2375,3374.5,2874.75,0,0.125491887,0.263877898,0.322294891,0.403710258
97,2400,3399.5,2899.75,12,0.397135556,0.056001861,0.876413047,0.498250816
98,2425,3424.5,2924.75,0,0.060246721,0.477208883,0.112096176,0.421019888
99,2450,3449.5,2949.75,0,0.036589053,0.552414775,0.062120233,0.349239957
100,2475,3474.5,2974.75,6,0.171345994,0.217165813,0.441031635,0.367598292
101,2500,3499.5,2999.75,12,0.393903673,0.057409029,0.872795463,0.468637726
102,2525,3524.5,3024.75,0,0.056773677,0.500042021,0.101961344,0.39530245
103,2550,3549.5,3049.75,0,0.047633372,0.510843039,0.085291646,0.333300289
104,2575,3574.5,3074.75,12,0.325661927,0.074489459,0.813846827,0.429409597
105,2600,3599.5,3099.75,12,0.391560882,0.065297216,0.857073307,0.514942339
106,2625,3624.5,3124.75,0,0.052294035,0.511779904,0.092707768,0.430495425
107,2650,3649.5,3149.75,0,0.086086974,0.401370794,0.176603973,0.379717134
108,2675,3674.5,3174.75,12,0.380662173,0.053797636,0.876173496,0.479008407
109,2700,3699.5,3199.75,6,0.121821582,0.200522944,0.377923518,0.458791429
110,2725,3724.5,3224.75,0,0.051544428,0.522825897,0.089740761,0.384981295
111,2750,3749.5,3249.75,0,0.123822235,0.265354186,0.318164796,0.371617995
112,2775,3774.5,3274.75,12,0.394078553,0.054240707,0.87901324,0.473097044
113,2800,3799.5,3299.75,0,0.078309953,0.376440257,0.172204331,0.412918502
114,2825,3824.5,3324.75,0,0.037620343,0.549667656,0.064057738,0.343146349
115,2850,3849.5,3349.75,0,0.135420904,0.253456771,0.34823522,0.344164123
116,2875,3874.5,3374.75,12,0.398764879,0.05599267,0.876873612,0.450706021
117,2900,3899.5,3399.75,0,0.058330555,0.493337601,0.105734855,0.381711788
118,2925,3924.5,3424.75,0,0.054638103,0.501112521,0.098314069,0.325032244
119,2950,3949.5,3449.75,12,0.252791464,0.141472012,0.641173959,0.388260587
120,2975,3974.5,3474.75,12,0.367237031,0.054449148,0.870877564,0.484783982
121,3000,3999.5,3499.75,0,0.054815102,0.503895938,0.098109931,0.407449172
122,3025,4024.5,3524.75,0,0.051222727,0.499388784,0.093028799,0.344565097
123,3050,4049.5,3549.75,12,0.353073925,0.055664267,0.863814354,0.448414949
124,3075,4074.5,3574.75,9,0.302634627,0.060617853,0.833124697,0.525356898
125,3100,4099.5,3599.75,0,0.051360942,0.515955865,0.090533085,0.438392136
126,3125,4124.5,3624.75,0,0.113585912,0.30070281,0.274170905,0.40554789
127,3150,4149.5,3649.75,12,0.392197251,0.051976673,0.882981241,0.50103456
128,3175,4174.5,3674.75,9,0.277802408,0.083079204,0.769788146,0.554785277
129,3200,4199.5,3699.75,0,0.041872632,0.540895283,0.071851298,0.458198481
130,3225,4224.5,3724.75,0,0.126188681,0.26717943,0.320790291,0.430716843
131,3250,4249.5,3749.75,12,0.392287493,0.053447977,0.880090415,0.520591558
132,3275,4274.5,3774.75,9,0.301850617,0.074617624,0.801795721,0.57683239
133,3300,4299.5,3799.75,0,0.03534212,0.555104434,0.059856597,0.473437232
134,3325,4324.5,3824.75,6,0.219503492,0.175651029,0.555487692,0.489847324
135,3350,4349.5,3849.75,12,0.382226735,0.052768681,0.878691435,0.567616146
136,3375,4374.5,3874.75,0,0.058348775,0.494151384,0.10560862,0.475214641
137,3400,4399.5,3899.75,0,0.06897784,0.443299592,0.134649381,0.407101589
138,3425,4424.5,3924.75,12,0.312556386,0.080972984,0.794239044,0.48452908
139,3450,4449.5,3949.75,12,0.393449217,0.065220512,0.857805073,0.559184279
140,3475,4474.5,3974.75,0,0.052724216,0.509099483,0.093844764,0.466116376
141,3500,4499.5,3999.75,0,0.061819978,0.47084856,0.116057128,0.396104526
142,3525,4524.5,4024.75,12,0.336981267,0.056453615,0.856510878,0.488185796
143,3550,4549.5,4049.75,9,0.231462479,0.075370058,0.754360914,0.54142082
144,3575,4574.5,4074.75,0,0.053621747,0.514134407,0.094445027,0.452025661
145,3600,4599.5,4099.75,0,0.121632919,0.278648287,0.303868681,0.422394265
146,3625,4624.5,4124.75,12,0.378458768,0.050700955,0.881859899,0.514287392
147,3650,4649.5,4149.75,6,0.157345593,0.208768174,0.429772377,0.497384389
148,3675,4674.5,4174.75,0,0.03436115,0.557672203,0.058039214,0.409515354
149,3700,4699.5,4199.75,0,0.143042266,0.263908952,0.351497322,0.397911748
150,3725,4724.5,4224.75,12,0.389971524,0.053582188,0.879197955,0.494168989
151,3750,4749.5,4249.75,0,0.060584337,0.48120445,0.111822791,0.41769975
152,3775,4774.5,4274.75,0,0.039754368,0.550313413,0.067372546,0.347634309
153,3800,4799.5,4299.75,12,0.313332975,0.081924349,0.792731583,0.436653764
154,3825,4824.5,4324.75,12,0.381190419,0.055299047,0.873309553,0.523984921
155,3850,4849.5,4349.75,0,0.057586659,0.496393234,0.103950813,0.4399781
156,3875,4874.5,4374.75,0,0.042844232,0.526898444,0.075199269,0.367022334
157,3900,4899.5,4399.75,9,0.279306769,0.090670437,0.754929662,0.444603799
158,3925,4924.5,4424.75,12,0.381337523,0.066631332,0.851259053,0.52593485
159,3950,4949.5,4449.75,0,0.052437644,0.509740293,0.093275882,0.439403056
160,3975,4974.5,4474.75,0,0.073343687,0.441220134,0.142535657,0.380029576
161,4000,4999.5,4499.75,12,0.379401356,0.054206617,0.874987066,0.479021074
162,4025,5024.5,4524.75,6,0.124859884,0.228411615,0.353438884,0.453904636
163,4050,5049.5,4549.75,0,0.052609187,0.516461909,0.092447475,0.381613204
164,4075,5074.5,4574.75,0,0.124255434,0.2726098,0.313092262,0.367909015
165,4100,5099.5,4599.75,12,0.381098181,0.051195189,0.881573081,0.470641829
166,4125,5124.5,4624.75,0,0.095586903,0.316171348,0.232143268,0.422942116
167,4150,5149.5,4649.75,0,0.045844272,0.53163445,0.07938695,0.354231083
168,4175,5174.5,4674.75,0,0.156225458,0.249817744,0.384750813,0.360335029
169,4200,5199.5,4699.75,12,0.387783051,0.053718816,0.878327131,0.46393345
170,4225,5224.5,4724.75,0,0.061096363,0.482171029,0.112460949,0.393638949
171,4250,5249.5,4749.75,0,0.039065603,0.550644815,0.066245399,0.328160239
172,4275,5274.5,4774.75,6,0.22606495,0.153531328,0.595540464,0.381636284
173,4300,5299.5,4799.75,12,0.383727312,0.058450781,0.86781168,0.478871363
174,4325,5324.5,4824.75,0,0.056284551,0.499858826,0.101205103,0.403338111
