rank,t_start_s,t_end_s,duration_s,n_windows,mean_score,max_score,roll_mean_score,start_window_id,end_window_id
1,9150.0,11174.5,2024.5,42,0.5155799923250273,0.6288079219066864,0.5155799923250273,367,408
2,5450.0,7474.5,2024.5,42,0.49397898266895013,0.6085428586658873,0.49397898266895013,219,260
3,8100.0,10124.5,2024.5,42,0.4639250807209965,0.5748571072183402,0.4639250807209965,325,366
4,2975.0,4999.5,2024.5,42,0.46274000891589023,0.5768323903547614,0.46274000891589023,120,161
5,1375.0,3399.5,2024.5,42,0.4507136472999872,0.5654357378448092,0.4507136472999872,56,97
